Fri Sep 24 2021 06:20:09 GMT-0400 (Eastern Daylight Time) - Run Time: 675ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of F/T workers in household - n_emp_ft


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_ft
  gta06_hhld    n_emp_ft      total
        6115           1         93
        6115           2         83
        6116           0         23
        6116           2         45
        6117           0        212
        6117           1        207
        6117           2         87
        6117           3         50
        6118           0        557
        6118           1        396
        6118           2         96
        6118           3         42
        6119           0         67
        6119           1         80
        6120           0         85
        6120           1         63
        6120           3          7
        6121           0        525
        6121           1        103
        6121           2         19
        6122           0         10
        6123           0        128
        6123           1         68
        6124           0        137
        6125           0         96
        6127           1          6
        6129           0         53
        6129           1        194
        6130           0        100
        6130           1         66
        6130           2        118
        6131           1         49
        6132           0        106
        6132           1        279
        6132           2         76
        6133           0        196
        6133           1        179
        6133           2        157
        6133           3         25
        6134           0        225
        6134           1        137
        6134           2         19
        6135           0        110
        6135           1         61
        6135           2         70
        6135           3         12
        6137           0        329
        6137           1        233
        6137           2        421
        6137           3         12
        6138           0         28
        6139           0         89
        6139           1         57
        6139           2        119
        6140           0        234
        6140           1        259
        6140           2        181
        6141           0        187
        6141           1        256
        6141           2        121
        6141           3         33
        6142           0        512
        6142           1        255
        6142           2        129
        6143           0         48
        6143           1         73
        6143           2          5
        6144           0         77
        6144           1         88
        6144           2         52
        6145           0         28
        6145           1         20
        6146           0       1188
        6146           1       1100
        6146           2        583
        6146           3         91
        6147           0         34
        6150           0        294
        6150           1        369
        6150           2         59
        6150           3         14
        6151           0         57
        6153           0         84
        6153           1         38
        6153           2         91
        6154           0        327
        6154           1        571
        6154           2        127
        6154           3         27
        6155           0         39
        6155           1         39
        6155           2         63
        6156           0         20
        6156           1          9
        6158           0        206
        6158           1        106
        6158           2        125
        6159           0        214
        6159           1         73
        6159           2        150
        6159           3         31
        6160           0        596
        6160           1        213
        6161           0        123
        6161           1        159
        6161           2         27
        6162           0        186
        6162           1        107
        6162           2        112
        6163           1         47
        6164           0        227
        6164           1        298
        6164           2        113
        6165           0        178
        6165           1         22
        6165           2         37
        6166           0        309
        6166           1        241
        6166           2        331
        6166           3         37
        6167           0         22
        6167           1         10
        6167           2         18
        6168           0        202
        6168           1        223
        6168           2        361
        6168           3         31
        6169           0         68
        6170           0        212
        6170           1        577
        6170           2        779
        6170           3         41
        6171           0        305
        6171           1        214
        6171           2        161
        6171           3         29
        6172           0        203
        6172           1        216
        6172           2         59
        6173           0        218
        6173           1        408
        6173           2         43
        6174           0        258
        6174           1        280
        6174           2         26
        6175           0        365
        6175           1         48
        6175           2         52
        6176           0        307
        6176           1        203
        6176           2         30
        6176           3         18
        6177           0        166
        6177           1         23
        6177           2         13
        6177           3         36
        6178           0          4
        6179           0         26
        6179           1         54
        6179           2         98
        6179           3         11
        6180           0         27
        6180           1         43
        6180           2         65
        6181           0         10
        6181           1         37
        6181           2         38
        6182           0        288
        6182           1        269
        6182           2        246
        6183           0         65
        6183           1         82
        6183           2         81
        6184           0         34
        6185           0         37
        6185           2         10
        6186           0         13
        6186           1         92
        6186           3         33
        6187           0         28
        6187           1        115
        6187           2         25
        6188           0        125
        6188           1         17
        6188           2        204
        6189           0         25
        6189           2         28
        6189           3          8
        6190           0          4
        6191           0         92
        6192           1         32
        6193           0        555
        6193           1        543
        6193           2        319
        6193           3         69
        6194           0        380
        6194           1        292
        6194           2        353
        6194           3         48
        6195           0         80
        6195           1         89
        6195           2          4
        6196           0        476
        6196           1        365
        6196           2        339
        6197           0         38
        6197           2         15
        6198           0        708
        6198           1        539
        6198           2        388
        6198           3         77
        6198           5         23
        6199           0       1275
        6199           1        613
        6199           2        639
        6199           3         77
        6200           0         14
        6201           0        129
        6201           1        222
        6201           2         35
        6201           3         10
        6202           0        105
        6202           1         94
        6203           0        353
        6203           1         40
        6204           0        876
        6204           1         21
        6204           2          5
        6205           0        151
        6205           1        311
        6205           2         11
        6206           0        149
        6206           1        174
        6206           2        257
        6207           0        204
        6207           1        165
        6207           2        192
        6208           0         47
        6208           1         47
        6209           0         18
        6209           1         19
        6210           1         42
        6213           0        533
        6213           1        270
        6213           2         94
        6213           3         20
        6214           1         44
        6215           0         20
        6215           2         47
        6216           0        167
        6216           1        186
        6216           2         78
        6217           0        838
        6217           1        413
        6217           2        237
        6218           0        382
        6218           1        179
        6218           2        458
        6219           0        847
        6219           1        690
        6219           2        335
        6219           3         24
        6219           4         37
        6222           0        513
        6222           1        544
        6222           2        613
        6222           3        106
        6223           0        182
        6223           1        306
        6223           2        369
        6223           3         30
        6224           0         25
        6224           1         33
        6225           0        296
        6225           1        586
        6225           2        652
        6225           3          4
        6226           0        864
        6226           1        663
        6226           2        629
        6226           3        101
        6227           0         13
        6227           1         69
        6228           0        254
        6228           1        161
        6228           2        215
        6229           0         53
        6229           1         38
        6230           0        333
        6230           1        304
        6230           2         85
        6230           3         83
        6231           0         64
        6231           1         71
        6231           2         23
        6232           0         29
        6233           0        664
        6233           1        541
        6233           2        223
        6233           3         66
        6235           0        921
        6235           1       1286
        6235           2        633
        6235           4         38
        6236           0        578
        6236           1        464
        6236           2        415
        6240           0         25
        6244           0        127
        6244           1         74
        6244           2        140
        6247           0         13
        6248           0        189
        6248           1         62
        6248           2        130
        6249           0        243
        6249           1        385
        6249           2        131
        6249           3         21
        6250           0         31
        6250           1         20
        6250           4         65
        6252           0        330
        6252           1        563
        6252           2        155
        6252           3          6
        6253           0         99
        6253           1        217
        6253           2          9
        6254           0         36
        6254           1         25
        6254           2         14
        6255           0         38
        6255           2         56
        6256           0         58
        6256           1        106
        6256           2        244
        6257           0        210
        6257           1        392
        6257           2        356
        6257           3         43
        6259           0        140
        6259           1        168
        6259           2        106
        6259           3         59
        6260           0        239
        6260           1        269
        6260           2         91
        6261           0         58
        6262           0        192
        6262           1         49
        6262           2         19
        6263           0        166
        6263           1        162
        6263           2        139
        6265           0         90
        6265           1         42
        6265           2         50
        6266           0        341
        6266           1        264
        6266           2         54
        6266           3         26
        6267           0        319
        6267           1        159
        6267           2        408
        6267           3         31
        6267           5         40
        6268           0        410
        6268           1        472
        6268           2        479
        6269           0        745
        6269           1        509
        6269           2        204
        6269           3         50
        6269           4         95
        6270           0        460
        6270           1        261
        6270           2        115
        6271           0        276
        6271           1        357
        6271           2        206
        6271           3         37
        6272           0         23
        6272           1        161
        6272           2          8
        6273           0         85
        6273           1        188
        6273           2         69
        6275           0        687
        6275           1        625
        6275           2        199
        6276           0        187
        6276           1        114
        6276           2         36
        6278           0         33
        6278           1         65
        6279           0         33
        6279           1         36
        6279           2         71
        6280           0         74
        6280           2         36
        6281           0         21
        6282           0        189
        6282           2         21
        6283           0        157
        6284           0         67
        6284           1        190
        6284           2         24
        6285           0        432
        6285           1        453
        6285           2         27
        6286           0        700
        6286           1        303
        6286           2         43
        6288           0        334
        6288           1        296
        6288           2         21
        6289           0        430
        6289           1        363
        6289           2        253
        6290           0        412
        6290           1        371
        6290           2        417
        6290           3         36
        6291           0         23
        6291           1         42
        6291           3         21
        6292           0         94
        6292           1        269
        6292           2        120
        6292           3         40
        6294           0         24
        6294           1         56
        6294           2         21
        6296           0        278
        6296           1        308
        6296           2        121
        6296           3         29
        6297           0        111
        6297           1        281
        6297           2         10
        6299           0        411
        6299           1        203
        6299           2         60
        6299           3         30
        6300           0        184
        6300           1        216
        6300           2         86
        6301           0        289
        6301           1        241
        6301           2        130
        6301           3         33
        6302           0         19
        6302           1         18
        6302           2        121
        6303           0         59
        6303           1        208
        6303           2         79
        6303           3         53
        6304           0          6
        6306           0          9
        6306           1          7
        6306           2          5
        6307           0        124
        6307           1        110
        6307           2        246
        6307           3         40
        6308           0        544
        6308           1        456
        6308           2        273
        6308           3        183
        6309           0        463
        6309           1        204
        6309           2        119
        6310           0        370
        6310           1         17
        6310           2         47
        6311           0         34
        6311           1         35
        6311           2         13
        6312           0        264
        6312           1         65
        6312           2         48
        6313           0         39
        6314           0         38
        6315           0        241
        6315           1         43
        6315           2         34
        6316           0        244
        6316           1         67
        6316           2         93
        6317           1         21
        6317           2        116
        6317           3         36
        6318           0         15
        6319           2         21
        6320           0        319
        6320           1        134
        6320           2        221
        6320           3         28
        6322           0         47
        6322           1         93
        6322           2         49
        6323           0         25
        6324           0         20
        6324           2         88
        6325           0        408
        6325           1        416
        6325           2        112
        6326           0        431
        6326           1        243
        6326           2         46
        6327           0         24
        6328           0         17
        6329           0          7
        6329           1         14
        6330           0         44
        6330           1         14
        6330           2        161
        6331           0         87
        6331           1         50
        6331           2         22
        6332           0        119
        6332           1         45
        6332           2         71
        6332           3         40
        6333           0        112
        6333           1         46
        6333           2         60
        6334           0         67
        6334           1         30
        6334           2        166
        6335           0         60
        6335           1         40
        6335           2         81
        6336           0        682
        6336           1        319
        6336           2        193
        6337           0        591
        6337           1        379
        6337           2        188
        6338           0        451
        6338           1        317
        6338           2        309
        6339           0         81
        6339           1        138
        6339           2         50
        6339           3         23
        6340           0        283
        6340           1        304
        6340           2        292
        6340           3         69
        6340           4         31
        6341           0        579
        6341           1        376
        6341           2        469
        6342           0        521
        6342           1        360
        6342           2        339
        6342           3         52
        6343           0        748
        6343           1        106
        6343           2        165
        6343           3         72
        6344           0        455
        6344           1        428
        6344           2        221
        6344           3         40
        6345           0        485
        6345           1        426
        6345           2        256
        6345           3         30
        6346           0        114
        6346           1          5
        6346           3         40
        6347           0        232
        6347           1        169
        6347           2        127
        6347           3         16
        6348           0        165
        6348           1        133
        6348           2        113
        6349           0        265
        6349           1         19
        6349           2         48
        6350           0        304
        6350           1        323
        6350           2        113
        6351           0         95
        6351           1         82
        6351           2         69
        6352           0         14
        6352           1         20
        6352           2         16
        6353           0         89
        6353           1        213
        6353           2         52
        6354           0         50
        6354           1         84
        6354           2        213
        6355           0         51
        6355           1         77
        6355           2         53
        6355           3         61
        6356           0         21
        6356           1         11
        6356           3         39
        6357           0         56
        6357           1         90
        6357           2         91
        6357           3         61
        6357           4         22
        6358           0         33
        6358           1         74
        6358           2         30
        6359           0        111
        6359           1        468
        6359           2        220
        6360           0        746
        6360           1        788
        6360           2        677
        6360           3        162
        6360           4         24
        6361           0        125
        6361           1        132
        6361           2         36
        6361           3        103
        6361           4         22
        6362           0        323
        6362           1        216
        6362           2        134
        6362           3          7
        6363           0         73
        6363           1        275
        6363           2        317
        6363           3         63
        6364           0        254
        6364           1        156
        6364           2        142
        6364           3         29
        6364           4          6
        6366           0        692
        6366           1        421
        6366           2        680
        6366           3        179
        6366           4         32
