Fri Sep 24 2021 06:20:09 GMT-0400 (Eastern Daylight Time) - Run Time: 675ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of F/T workers in household - n_emp_ft


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_ft
  gta06_hhld    n_emp_ft      total
        4121           0          9
        4121           1         59
        4121           2         31
        4122           1         19
        4123           0        396
        4123           1        741
        4123           2        659
        4123           3        120
        4124           0        583
        4124           1        345
        4124           2        652
        4124           3        105
        4125           0        723
        4125           1        729
        4125           2        630
        4125           3         25
        4125           4         15
        4126           0        520
        4126           1        368
        4126           2        451
        4126           3         23
        4127           0        349
        4127           1       1262
        4127           2       1791
        4127           3         55
        4127           4         37
        4128           1          8
        4129           1         27
        4130           0         19
        4130           2          8
        4131           0         10
        4131           1         25
        4131           2          8
        4132           0         33
        4132           1         44
        4132           2         52
        4133           0         12
        4133           1         50
        4133           2         28
        4133           3         23
        4134           0         37
        4134           1         24
        4134           2         58
        4134           3         31
        4134           4         31
        4135           0         32
        4135           1        189
        4135           2        110
        4136           0         45
        4136           1        138
        4136           2         38
        4137           0        165
        4137           1         59
        4137           2         58
        4137           3         15
        4137           4         74
        4138           0         21
        4138           1         87
        4138           2        112
        4139           0         64
        4139           1         73
        4139           2         68
        4139           3         11
        4140           0        129
        4140           1         96
        4140           2         64
        4140           3         20
        4141           0         41
        4141           1         21
        4141           2         10
        4142           0         40
        4142           2         15
        4143           0        116
        4143           1         35
        4143           2        104
        4143           3         20
        4144           0          9
        4144           1         29
        4144           2         15
        4148           2         29
        4149           0         40
        4149           1         31
        4149           2        181
        4149           3         52
        4153           0         12
        4153           1         17
        4154           0        119
        4154           1         59
        4154           2        138
        4154           3         88
        4155           0         32
        4155           1         60
        4155           2        240
        4155           3          9
        4156           1          3
        4156           3          4
        4157           0         17
        4157           1         75
        4157           2        100
        4157           3         15
        4158           0        111
        4158           1        576
        4158           2        680
        4158           3         85
        4158           4         53
        4159           0        429
        4159           1        452
        4159           2        114
        4159           3        135
        4159           4         52
        4160           0        269
        4160           1        896
        4160           2       1493
        4160           3        179
        4160           4         57
        4161           0         18
        4161           1        112
        4161           2         68
        4162           0        335
        4162           1        512
        4162           2        614
        4162           3        143
        4162           4         24
        4163           0        522
        4163           1        685
        4163           2        692
        4163           3         39
        4164           0        279
        4164           1        735
        4164           2        727
        4164           3         62
        4165           1         96
        4165           2          6
        4165           4         29
        4166           0        479
        4166           1        365
        4166           2        545
        4166           3        149
        4166           4         11
        4167           0         33
        4167           1         91
        4167           2        134
        4168           0         77
        4168           1         51
        4168           2          5
        4168           3          6
        4169           0        121
        4169           1         26
        4169           2         25
        4170           0         97
        4170           1        131
        4170           2         56
        4170           3         85
        4171           0         46
        4171           1          6
        4172           0         73
        4172           1         15
        4172           2        157
        4173           0         64
        4173           1        116
        4173           2         96
        4173           3         32
        4174           0         45
        4174           1        121
        4174           2         89
        4174           3         20
        4174           4         70
        4175           0         88
        4175           1        235
        4175           2        236
        4175           3         57
        4176           0        147
        4176           1        150
        4176           2        376
        4176           3         91
        4177           0        263
        4177           1        105
        4177           2         65
        4177           3         66
        4178           0        209
        4178           1        259
        4178           2        240
        4178           3         45
        4179           0         27
        4179           1         12
        4179           2         50
        4183           0        281
        4183           1        931
        4183           2       1300
        4183           3        136
        4184           0         25
        4184           2         17
        4186           0        545
        4186           1       2160
        4186           2       2273
        4186           3        168
        4186           4         35
        4188           2         26
        4189           0        289
        4189           1       1289
        4189           2       1479
        4189           3        215
        4189           4         60
        4190           0        847
        4190           1        603
        4190           2        466
        4191           0         65
        4191           1        178
        4191           2         64
        4191           3         94
        4193           0        204
        4193           1         30
        4195           0        141
        4195           1        193
        4195           2        377
        4195           3         84
        4196           0        237
        4196           1        504
        4196           2        356
        4196           3         51
        4197           0        149
        4197           1         39
        4197           2         32
        5001           0         20
        5001           2        206
        5002           0        383
        5002           1        136
        5002           2        263
        5003           0         68
        5003           1         91
        5003           2         13
        5004           0         65
        5004           1        175
        5004           2        181
        5005           0         40
        5005           1        401
        5005           2       1101
        5005           3         45
        5006           2         13
        5007           0        116
        5007           1        365
        5007           2        137
        5008           0         34
        5008           1        156
        5009           0        233
        5009           1        274
        5009           2        597
        5010           0          8
        5011           0         20
        5011           2         15
        5011           3         82
        5012           0         73
        5012           1        182
        5012           2         20
        5014           0         16
        5014           1         32
        5014           2         18
        5016           0        220
        5016           1         58
        5018           1        122
        5018           2         16
        5020           0         13
        5020           1        328
        5020           2        195
        5026           1         21
        5028           1         91
        5030           0         69
        5030           1         96
        5030           2        105
        5030           3         22
        5030           4         56
        5032           0        198
        5032           1       1217
        5032           2        656
        5032           3         55
        5032           4        106
        5033           0         39
        5033           2        286
        5035           2         21
        5036           0        143
        5036           1        401
        5036           2         48
        5037           0          7
        5037           2         84
        5037           3         46
        5038           0         24
        5038           3          7
        5039           0          7
        5040           0         40
        5040           1         34
        5040           2         43
        5041           0        688
        5041           1        773
        5041           2        734
        5041           3         50
        5044           0         83
        5044           1        252
        5044           2        312
        5044           3         93
        5045           0        169
        5045           1        559
        5045           2        181
        5045           3        105
        5046           0        504
        5046           1        602
        5046           2        885
        5046           3         40
        5047           0       1435
        5047           1        194
        5047           2        135
        5047           4        126
        5048           0         30
        5049           0         47
        5049           2        131
        5049           3         18
        5050           0        419
        5050           1        678
        5050           2        418
        5050           3         99
        5051           0        281
        5051           1        554
        5051           2        540
        5051           3        255
        5052           0        157
        5052           1        160
        5052           2        151
        5052           3         27
        5053           0        364
        5053           1        521
        5053           2        583
        5053           3        145
        5054           1         63
        5054           2         94
        5055           0         16
        5055           2         43
        5056           0        225
        5056           1        397
        5056           2        197
        5056           3         87
        5057           0        380
        5057           1        416
        5057           2        548
        5057           3         87
        5058           0        867
        5058           1        246
        5058           2        198
        5058           3         98
        5059           0        522
        5059           1        838
        5059           2        655
        5059           3         97
        5059           4         32
        5060           0        180
        5060           1        485
        5060           2         55
        5060           3        111
        5061           0        372
        5061           1        242
        5061           2        505
        5061           3         47
        5063           0        247
        5063           1        349
        5063           2        366
        5063           3        103
        5065           0        340
        5065           1        599
        5065           2        290
        5066           0        473
        5066           1       1038
        5066           2        468
        5067           0        206
        5067           1        338
        5067           2        173
        5067           3         62
        5068           0        847
        5068           1        510
        5068           2        540
        5068           3         48
        5068           4         37
        5069           0        710
        5069           1        415
        5069           2        240
        5069           3        179
        5071           0        162
        5071           1        258
        5071           2        363
        5071           3         77
        5071           5         32
        5072           0        133
        5072           1         59
        5072           2        133
        5073           0        164
        5073           1        991
        5073           2        554
        5073           3        193
        5073           4        108
        5074           0        811
        5074           1        333
        5074           2        222
        5074           3         27
        5075           0        131
        5075           1        427
        5075           2        434
        5075           4         41
        5076           0        174
        5076           1        319
        5076           2        356
        5077           0         14
        5077           1         76
        5077           2         66
        5078           0        181
        5078           1        201
        5078           2        156
        5078           3         32
        5079           0        247
        5079           1        152
        5079           2        179
        5080           0        128
        5080           1        160
        5080           2          8
        5080           3         20
        5081           0        138
        5081           1        127
        5081           2        176
        5081           3         48
        5082           0        937
        5082           1        358
        5082           2        547
        5082           3        153
        5084           0        220
        5084           1        659
        5084           2        768
        5084           3        152
        5086           0        584
        5086           1        201
        5086           2        342
        5086           3        136
        5087           0        136
        5087           1         28
        5087           2         56
        5088           0         57
        5088           1         57
        5088           2        111
        5089           0        582
        5089           1        455
        5089           2        376
        5089           3        101
        5090           0        253
        5090           1        205
        5090           2        178
        5090           3         95
        5090           6         68
        5091           0        395
        5091           1        341
        5091           2        194
        5091           3         62
        5092           0        685
        5092           1        501
        5092           2        149
        5092           3        170
        5093           0        339
        5093           1        247
        5093           2        295
        5093           3         33
        5094           0        747
        5094           1        859
        5094           2        739
        5094           3        108
        5095           0        767
        5095           1        535
        5095           2        436
        5096           0        379
        5096           1        547
        5096           2        303
        5096           3         94
        5097           0        475
        5097           1        325
        5097           2        100
        5098           0        526
        5098           1        277
        5098           2        695
        5098           3        101
        5099           0       1062
        5099           1        224
        5099           2        161
        5099           4         22
        5100           0        284
        5100           1        658
        5100           2        587
        5100           3         50
        5100           4         56
        5101           0        295
        5101           1        328
        5101           2         53
        5101           3         82
        5102           0        411
        5102           1        238
        5102           2        108
        5102           3         52
        5103           0         56
        5103           1         59
        5103           2         41
        5103           3         85
        5104           0       1029
        5104           1        474
        5104           2        363
        5104           3         71
        5105           0        179
        5105           1        516
        5105           2        175
        5105           4         36
        5106           0        404
        5106           1        452
        5106           2        143
        5106           3         20
        5107           0        406
        5107           1        185
        5107           2         52
        5109           0        265
        5109           1        221
        5109           2        393
        5109           3         28
        5110           0        893
        5110           1        122
        5110           2        269
        5110           3        260
        5111           0        734
        5111           1        668
        5111           2        371
        5111           3         46
        5113           0        317
        5113           1        235
        5113           2        390
        5113           3         33
        5114           0        332
        5114           1        305
        5114           2        168
        5114           3         34
        5115           0        532
        5115           1        353
        5115           2        396
        5115           3         58
        5116           0        279
        5116           1        645
        5116           2         87
        5117           0         41
        5117           1        383
        5117           2         63
        5118           0        494
        5118           1        801
        5118           2        355
        5118           3         46
        5119           1         66
        5120           0        450
        5120           1        295
        5120           2        340
        5121           0        421
        5121           1        441
        5121           2        247
        5122           0        370
        5122           1        485
        5122           2        305
        5122           3         49
        5122           4         49
        5123           0       1285
        5123           1       1150
        5123           2        535
        5123           3         50
        5125           0        190
        5125           1        207
        5126           0         27
        5126           1         64
        5126           2        169
        5127           0        862
        5127           1        692
        5127           2        374
        5127           3         85
        5127           4         99
        5129           0        305
        5129           1        201
        5129           2        337
        5130           0        708
        5130           1       1005
        5130           2        379
        5130           3         65
        5131           0        840
        5131           1        277
        5131           2        315
        5132           0        347
        5132           1        404
        5132           2        349
        5132           3        170
        5133           0        455
        5133           1        295
        5133           2        430
        5133           3         95
        5135           0       1003
        5135           1        859
        5135           2        382
        5135           3         25
        5137           0        204
        5137           1        156
        5137           2        174
        5137           3         42
        5138           0         68
        5138           1         37
        5138           3         47
        5139           0       1260
        5139           1        718
        5139           2        547
        5139           4        110
        5140           0        355
        5140           1        418
        5140           2        455
        5141           0        124
        5141           1        350
        5141           2        365
        5142           1         24
        5142           2         42
        5143           0        381
        5143           1        641
        5143           2        399
        5144           0        493
        5144           1        811
        5144           2        573
        5144           3         74
        5147           0         51
        5147           2         36
        5148           0       1431
        5148           1        818
        5148           2        223
        5148           3         43
        5149           0        388
        5149           1        549
        5149           2        213
        5149           3         85
        5150           0        912
        5150           1        682
        5150           2        324
        5151           0        385
        5151           1        653
        5151           2        425
        5151           3        163
        5154           0        208
        5154           1        557
        5154           2        203
        5155           0        684
        5155           1        498
        5155           2        282
        5155           3         10
        5156           0         64
        5156           1         17
        5157           0        338
        5157           1        459
        5157           2        308
        5158           0        245
        5158           1        811
        5158           2        746
        5158           3         24
        5159           0        874
        5159           1        489
        5159           2        123
        5160           0         47
        5160           1        115
        5161           0        390
        5161           1        321
        5161           2        619
        5161           4         55
        5162           0        399
        5162           1        242
        5162           2        186
        5162           4         36
        5163           0        555
        5163           1        484
        5163           2        150
        5164           0        955
        5164           1       1207
        5164           2        561
        5164           3         72
        5165           0        528
        5165           1        588
        5165           2        565
        5166           0       1702
        5166           1        944
        5166           2        337
        5166           3         40
        5167           0        294
        5167           1        321
        5167           2        376
        5168           0        536
        5168           1        685
        5170           0       1243
        5170           1        739
        5170           2        106
        5171           0        752
        5171           1        543
        5171           2        147
        5172           0        645
        5172           1        613
        5172           2        223
        5172           3         32
        5173           0        126
        5173           1        149
        5174           0        220
        5174           1        633
        5174           2        200
        5174           3         57
        5175           0        883
        5175           1        255
        5175           2         74
        5175           3         30
        5176           0        153
        5176           1        484
        5176           2        137
        5176           3         66
        5176           4         97
        5177           0        270
        5177           1        220
        5177           2        208
        5177           3        102
        5178           0        350
        5178           1        199
        5178           2        293
        5179           0        740
        5179           1       1041
        5179           2        293
        5180           0        180
        5180           1        690
        5180           2        285
        5181           0       1615
        5181           1        689
        5181           2        147
        5181           3         98
        5182           0        170
        5182           1        385
        5182           2        179
        5182           3         53
        5183           0        112
        5183           1        248
        5183           2        142
        5183           3         88
        5184           0         49
        5184           1        136
        5186           0        422
        5186           1        801
        5186           2        105
        5187           0       1651
        5187           1        478
        5187           2        426
        5188           0         49
        5188           1        521
        5190           1         67
        5191           0        475
        5191           1        497
        5191           2        293
        5192           0        458
        5192           1        495
        5192           2        225
        5193           0         23
        5194           0        288
        5194           1        384
        5194           2        217
        5194           3         38
        5195           0        386
        5195           1        243
        5195           2        113
        5196           0        288
        5196           1        255
        5196           2        260
        5196           3         34
        5197           0         15
        5197           1         70
        5198           0        108
        5198           1         59
        5198           2         56
        5199           0        306
        5199           1        421
        5199           2        161
        5199           3         89
        5200           0       1018
        5200           1        544
        5200           2        131
        5201           0          8
        5201           1        190
        5201           2        132
        5202           0        479
        5202           1        402
        5202           2        273
        5202           4        140
        5203           0        557
        5203           1        325
        5203           2        368
        5204           0        260
        5204           1        240
        5204           2         19
        5205           0       1048
        5205           1        466
        5205           2        431
        5205           3         38
        5206           0        346
        5206           1        228
        5206           2        116
        5207           0        677
        5207           1        636
        5207           2        567
        5207           3        120
        5208           0        857
        5208           1        909
        5208           2        535
        5208           3         81
        5210           0        148
        5210           1         63
        5212           0        271
        5212           1        422
        5212           2        133
        5212           3         32
        5213           2         30
        5214           0         19
        5214           1         55
        5214           2         25
        5215           0         13
        5215           1        109
        5215           2         53
        5216           0        295
        5216           1        497
        5216           2        351
        5216           3        146
        5216           4         26
        5219           0        454
        5219           1        236
        5219           2        189
        5219           3         44
        5223           0        131
        5223           1        256
        5223           2        222
        5223           3         51
        5224           0        149
        5224           1        324
        5224           2        204
        5224           3         52
        5225           0        108
        5225           1         87
        5225           2        180
        5226           0        286
        5226           1        367
        5226           2        504
        5226           3         14
        5227           0         57
        5227           1         60
        5227           2         62
        5228           0         37
        5228           1         47
        5229           0        158
        5229           1        564
        5229           2        520
        5230           0        277
        5230           1        443
        5230           2        486
        5230           3        184
        5231           0        325
        5231           1        246
        5231           2        496
        5232           0        387
        5232           1        612
        5232           2       1008
        5232           3        224
        5233           0        249
        5233           1        146
        5233           2        334
        5233           3         41
        5234           0         52
        5234           1         95
        5234           2         58
        5235           1         11
        5235           2        142
        5235           3         29
        5236           0        157
        5236           1        284
        5236           3         44
        5237           0        614
        5237           1        435
        5237           2        334
        5238           0        342
        5238           1        327
        5238           2        450
        5238           3        110
        5239           0        667
        5239           1        543
        5239           2        480
        5239           3         28
        5240           0        204
        5240           1        104
        5240           2        149
        5241           0       1241
        5241           1        906
        5241           2        883
        5241           3         93
        5241           4         41
        5242           0         36
        5242           1         79
        5242           2        204
        5243           0         54
        5243           1         24
        5244           0         23
        5244           1        476
        5244           2        450
        5244           3         45
        5245           0         19
        5245           1        111
        5245           2        226
        5246           0        216
        5246           1        300
        5246           2        154
        5247           0        126
        5247           1        231
        5247           2        176
        5248           0        348
        5248           1        245
        5248           2        362
        5248           3         88
        5249           0         41
        5249           1         78
        5249           2         76
        5250           0         19
        5250           1         94
        5250           2        100
        5250           3         43
        5251           0         13
        5251           2         19
        5252           0        540
        5252           1         76
        5252           2         25
        6001           0         19
        6001           1        160
        6001           2        120
        6004           0        262
        6004           1        758
        6004           2        713
        6004           3         82
        6005           0        100
        6005           1        227
        6005           2        147
        6006           0         99
        6006           1        128
        6006           2        130
        6007           0        185
        6007           1        190
        6007           2        170
        6008           0        288
        6008           1        142
        6008           2         70
        6008           3         43
        6009           0         91
        6009           1         16
        6010           0         59
        6010           1         84
        6012           0        395
        6012           1        236
        6012           2        273
        6012           3         76
        6012           4         46
        6014           0        276
        6014           1         99
        6014           2         29
        6015           0        317
        6015           1        346
        6015           2        370
        6015           3         43
        6016           0        259
        6016           1        451
        6016           2        294
        6017           0        150
        6017           1        158
        6018           0        187
        6018           1        195
        6018           2        364
        6018           3         51
        6018           4         33
        6019           0        378
        6019           1        185
        6019           2        196
        6019           3         31
        6020           0        300
        6020           1        238
        6020           2        146
        6021           0         10
        6022           0         90
        6022           1        116
        6022           2         83
        6023           0        546
        6023           1        943
        6023           2        812
        6023           3         36
        6023           4         53
        6024           1         46
        6024           2         61
        6025           0        138
        6025           1        149
        6025           2         31
        6026           0        908
        6026           1        418
        6026           2        108
        6027           0        255
        6027           1        430
        6027           2        174
        6027           3         52
        6027           4         53
        6028           0         74
        6028           2         81
        6029           0        180
        6029           1        172
        6029           2        227
        6029           3         27
        6030           0         52
        6030           1         75
        6030           2         43
        6030           3         96
        6031           0         14
        6031           1         72
        6031           2        100
        6032           0        861
        6032           1        653
        6032           2        540
        6032           3         18
        6033           0        139
        6033           1         30
        6033           2         31
        6034           0        288
        6034           1        173
        6034           2         34
        6034           3         59
        6035           0         74
        6035           1         70
        6035           2        127
        6035           3         83
        6036           0         81
        6036           1         61
        6036           2        110
        6037           2         32
        6038           0        291
        6038           1        126
        6038           2        218
        6039           0        661
        6039           1        504
        6039           2        547
        6040           0         30
        6040           1        128
        6040           2         91
        6040           3         44
        6041           0        175
        6041           1        140
        6041           2         46
        6042           0        166
        6042           1        141
        6042           2         84
        6043           0        152
        6043           1         50
        6043           2         18
        6044           0       1687
        6044           1        541
        6044           2        329
        6044           3         39
        6045           0         39
        6045           1         69
        6045           2        171
        6046           0         72
        6046           1         71
        6046           2         91
        6046           3         55
        6047           0        572
        6047           1        541
        6047           2        142
        6047           3         49
        6048           0         69
        6048           1        254
        6048           2        200
        6049           0         12
        6049           2         13
        6050           0        347
        6050           1        172
        6050           2        209
        6051           0        165
        6051           1         44
        6051           2         61
        6051           3         24
        6052           0         65
        6052           1        249
        6052           2        126
        6053           0         92
        6053           1         87
