Fri Sep 24 2021 06:22:39 GMT-0400 (Eastern Daylight Time) - Run Time: 639ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of vehicles in household - n_vehicle


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_vehicle
  gta06_hhld   n_vehicle      total
        6019           4         43
        6020           0         78
        6020           1        233
        6020           2        281
        6020           3         49
        6020           4         42
        6021           1         10
        6022           0         15
        6022           1        117
        6022           2         57
        6022           3         61
        6022           4         38
        6023           0         59
        6023           1        437
        6023           2       1341
        6023           3        479
        6023           4         74
        6024           2         85
        6024           3         22
        6025           1        115
        6025           2         80
        6025           3         94
        6025           4         21
        6025           5          8
        6026           0         57
        6026           1        746
        6026           2        514
        6026           3         76
        6026           4         33
        6026           5          8
        6027           1        181
        6027           2        361
        6027           3        257
        6027           4         64
        6027           5         70
        6027           6         31
        6028           1         48
        6028           2         72
        6028           3         18
        6028           4         18
        6029           1         87
        6029           2        315
        6029           3         97
        6029           4         46
        6029           5         27
        6029           8         35
        6030           1         45
        6030           2         17
        6030           3        174
        6030           4         14
        6030           7         15
        6031           1         14
        6031           2         83
        6031           3         12
        6031           4         78
        6032           1        644
        6032           2       1054
        6032           3        330
        6032           4         26
        6032           5         18
        6033           0         36
        6033           1         72
        6033           2         60
        6033           4         31
        6034           0         18
        6034           1        202
        6034           2        195
        6034           3         80
        6034           4         59
        6035           1         27
        6035           2         78
        6035           3         66
        6035           4        109
        6035           5         39
        6035           6         34
        6036           1         27
        6036           2        117
        6036           3        108
        6037           2         32
        6038           1        212
        6038           2        280
        6038           3        144
        6039           0         29
        6039           1        332
        6039           2        982
        6039           3        288
        6039           4         80
        6040           1         13
        6040           2        111
        6040           3        106
        6040           4         19
        6040           6         44
        6041           1         85
        6041           2        143
        6041           3        134
        6042           1        118
        6042           2        147
        6042           3         82
        6042           5         44
        6043           1         57
        6043           2         92
        6043           3         51
        6043           4         20
        6044           0         19
        6044           1       1089
        6044           2       1126
        6044           3        349
        6044           4         12
        6045           1         38
        6045           2         55
        6045           3        142
        6045           4         32
        6045           5         12
        6046           1         30
        6046           2        105
        6046           3        155
        6047           0         19
        6047           1        413
        6047           2        712
        6047           3        159
        6048           1         65
        6048           2        226
        6048           3        216
        6048           9         16
        6049           2         12
        6049           3         13
        6050           1        166
        6050           2        321
        6050           3        123
        6050           4         52
        6050           6         66
        6051           1        102
        6051           2         96
        6051           3         95
        6052           1        143
        6052           2        296
        6053           1        108
        6053           2        131
        6053           3         35
        6053           5         61
        6054           0          8
        6054           1        134
        6054           2        297
        6054           3         39
        6055           0         44
        6055           1        139
        6055           2        316
        6055           3         59
        6055           6          9
        6056           0         57
        6056           1        531
        6056           2        250
        6056           3         24
        6057           0         59
        6057           1        382
        6057           2        153
        6057           3         70
        6058           0         43
        6058           1        250
        6058           2        230
        6058           3         12
        6059           1        233
        6059           2        217
        6059           3        153
        6059           4         52
        6060           0         60
        6060           1        167
        6060           2         98
        6061           0         47
        6061           1        190
        6061           2        374
        6061           3         38
        6061           4         60
        6061           5         63
        6062           0         29
        6062           1        173
        6062           2        440
        6062           3        171
        6062           4        132
        6062           5         42
        6062           7         18
        6063           1        148
        6063           2        203
        6063           3        136
        6063           5         41
        6064           0        107
        6064           1        551
        6064           2        772
        6064           3        272
        6064           4         11
        6065           0         11
        6065           1         38
        6065           2        186
        6065           3         31
        6065           4         14
        6066           0        111
        6066           1        368
        6066           2        274
        6066           3         59
        6066           4         62
        6067           0         35
        6067           1        230
        6067           2        192
        6067           3        149
        6067           4         53
        6067           5         32
        6068           0         65
        6068           1        302
        6068           2        385
        6068           3         83
        6068           5         36
        6069           1        157
        6069           2        124
        6069           3        139
        6070           2         33
        6071           0        136
        6071           1        837
        6071           2        623
        6071           3        194
        6071           4        181
        6071           5         13
        6072           0         31
        6072           1        226
        6072           2        262
        6072           3         12
        6073           0         72
        6073           1         12
        6074           0        321
        6074           1        710
        6074           2        568
        6074           3        145
        6074           4        113
        6074           5         16
        6075           0        110
        6075           1        715
        6075           2        342
        6075           3        223
        6075           4         14
        6076           1         58
        6079           0        352
        6079           1        565
        6079           2        358
        6079           3         16
        6080           1         79
        6081           0         40
        6081           1        602
        6081           2        355
        6081           3        226
        6082           1        320
        6082           2        293
        6082           3         42
        6082           4         16
        6083           0        306
        6083           1        821
        6083           2        201
        6085           0         18
        6085           1        113
        6085           2         44
        6090           0         59
        6090           1        585
        6090           2        385
        6090           3         94
        6090           4         55
        6090           5        135
        6091           0         33
        6091           1        374
        6091           2        153
        6091           4         16
        6092           0        108
        6092           1        212
        6092           2        470
        6092           4         23
        6094           0         23
        6094           1        248
        6094           2        102
        6094           3         47
        6095           2         14
        6095           3         42
        6097           0         25
        6097           1        110
        6097           2        273
        6097           3        272
        6097           4        102
        6097           5         35
        6097           6         62
        6097           9          6
        6098           0         16
        6098           1        484
        6098           2        332
        6098           3        220
        6098           4         21
        6100           0         31
        6100           1        695
        6100           2        444
        6100           3         55
        6101           0        303
        6101           1        903
        6101           2        434
        6101           3         95
        6101           4          6
        6102           0         40
        6102           1        333
        6102           2        216
        6103           0         15
        6103           1         10
        6104           0         32
        6104           1         88
        6104           2        127
        6104           3         16
        6105           0         57
        6105           1        337
        6105           2        243
        6106           0         31
        6106           1        276
        6106           2        244
        6106           3         37
        6106           4         21
        6107           0        207
        6107           1        877
        6107           2        357
        6107           3        105
        6107           4         34
        6109           0        110
        6109           1        714
        6109           2        507
        6109           3         61
        6109           5         28
        6112           0         22
        6112           1        154
        6112           2        337
        6112           5         11
        6113           0         61
        6113           1        363
        6113           2        286
        6113           3         50
        6113           4         15
        6113           5        118
        6115           1        136
        6115           2        103
        6116           0          7
        6116           1         16
        6116           2         45
        6117           0        112
        6117           1        163
        6117           2        235
        6117           3         36
        6117           5         10
        6118           0         34
        6118           1        800
        6118           2        215
        6118           3         43
        6119           1        117
        6119           2         20
        6119           3          9
        6120           1         95
        6120           2         59
        6121           0        264
        6121           1        357
        6121           2         20
        6121           4          6
        6122           1         10
        6123           0         17
        6123           1        136
        6123           2         44
        6124           0         67
        6124           1         70
        6125           0         21
        6125           1         75
        6127           1          6
        6129           0        114
        6129           1        133
        6130           0        100
        6130           1         66
        6130           2        118
        6131           1         49
        6132           0         36
        6132           1        304
        6132           2         74
        6132           3         48
        6133           0        128
        6133           1        224
        6133           2        134
        6133           3         47
        6133           4         25
        6134           0        157
        6134           1        224
        6135           0         25
        6135           1         76
        6135           2        126
        6135           3         14
        6135           5         12
        6137           1        137
        6137           2        707
        6137           3         90
        6137           4         61
        6138           0         28
        6139           0         18
        6139           1         91
        6139           2        133
        6139           3         21
        6140           0        119
        6140           1        318
        6140           2        236
        6141           1        214
        6141           2        295
        6141           3         66
        6141           4         23
        6142           0         28
        6142           1        622
        6142           2        204
        6142           3         18
        6142           4         24
        6143           0         19
        6143           1         42
        6143           2         60
        6143           3          5
        6144           1        106
        6144           2         94
        6144           3         18
        6145           0         20
        6145           1         15
        6145           2         13
        6146           0        326
        6146           1       1064
        6146           2       1147
        6146           3        342
        6146           4         46
        6146           5         36
        6147           2         34
        6150           0         72
        6150           1        480
        6150           2        154
        6150           3         15
        6150           4         14
        6151           1         57
        6153           0         74
        6153           1         49
        6153           2         13
        6153           3         78
        6154           0         91
        6154           1        299
        6154           2        457
        6154           3        191
        6154           4         14
        6155           0         12
        6155           1         65
        6155           2         64
        6156           1         29
        6158           0         10
        6158           1        237
        6158           2        133
        6158           3         57
        6159           1         86
        6159           2        258
        6159           3         70
        6159           4         23
        6159           7         31
        6160           0        121
        6160           1        556
        6160           2        132
        6161           0         91
        6161           1         26
        6161           2        192
        6162           0          8
        6162           1        120
        6162           2         98
        6162           3        162
        6162          99         17
        6163           1         47
        6164           1        143
        6164           2        305
        6164           3        141
        6164           4         35
        6164           5         13
        6165           0         13
        6165           1        101
        6165           2         97
        6165           3         27
        6166           0         46
        6166           1        295
        6166           2        346
        6166           3        219
        6166           4         13
        6167           1          3
        6167           2         30
        6167           3         11
        6167           4          6
        6168           1        133
        6168           2        559
        6168           3         87
        6168           4         38
        6169           1         28
        6169           4         41
        6170           0         20
        6170           1        303
        6170           2        920
        6170           3        320
        6170           4         47
        6171           0         65
        6171           1        135
        6171           2        303
        6171           3        181
        6171           4         16
        6171           8         10
        6172           0         12
        6172           1        286
        6172           2        144
        6172           3         36
        6173           0         50
        6173           1        315
        6173           2        210
        6173           3         54
        6173           5         40
        6174           0        108
        6174           1        330
        6174           2        127
        6175           0         80
        6175           1        299
        6175           2         87
        6176           0        100
        6176           1        271
        6176           2        152
        6176           3         35
        6177           0         60
        6177           1         55
        6177           2         78
        6177           3          9
        6177           4         13
        6177           8         24
        6178           2          4
        6179           1         38
        6179           2        150
        6180           2         55
        6180           3         79
        6181           1         58
        6181           2         13
        6181           4         13
        6182           0         67
        6182           1        224
        6182           2        342
        6182           3        169
        6183           1         65
        6183           2        162
        6184           1         25
        6184           2         10
        6185           1         47
        6186           1         57
        6186           2         68
        6186           3         13
        6187           1         21
        6187           2        121
        6187           3         25
        6188           1         97
        6188           2         92
        6188           3         55
        6188           4        102
        6189           0          4
        6189           2         21
        6189           3         28
        6189           4          8
        6190           2          4
        6191           3         92
        6192           1         26
        6192           2          6
        6193           0        160
        6193           1        588
        6193           2        351
        6193           3        246
        6193           4        119
        6193           5         23
        6194           1        328
        6194           2        518
        6194           3        180
        6194           4         16
        6194           5         30
        6195           1         55
        6195           2         78
        6195           3         10
        6195           5         30
        6196           1        329
        6196           2        600
        6196           3        184
        6196           4         67
        6197           2         34
        6197           3         18
        6198           0         68
        6198           1        640
        6198           2        759
        6198           3        163
        6198           4        103
        6199           0        352
        6199           1        981
        6199           2        954
        6199           3        211
        6199           4         81
        6199           5         26
        6200           1         14
        6201           0         44
        6201           1        170
        6201           2        140
        6201           3         10
        6201           4         31
        6202           0        175
        6202           1         19
        6202           2          6
        6203           0        244
        6203           1        114
        6203           2         35
        6204           0        601
        6204           1        284
        6204           2         17
        6205           0        101
        6205           1        272
        6205           2        100
        6206           0         24
        6206           1        185
        6206           2        285
        6206           3         86
        6207           0         83
        6207           1        173
        6207           2        305
        6208           1         77
        6208           2         18
        6209           1         37
        6210           1         15
        6210           2         26
        6213           0         87
        6213           1        595
        6213           2        162
        6213           3         57
        6213           4         16
        6214           0         17
        6214           1         27
        6215           1          9
        6215           2         47
        6215           3         11
        6216           0         63
        6216           1        258
        6216           2         82
        6216           4         28
        6217           0        201
        6217           1        818
        6217           2        401
        6217           3         49
        6217           4         18
        6218           0         74
        6218           1        624
        6218           2         75
        6218           3        176
        6218           5         70
        6219           0         79
        6219           1        790
        6219           2        891
        6219           3        137
        6219           4         37
        6222           0         15
        6222           1        691
        6222           2        740
        6222           3        226
        6222           4         65
        6222           5         41
        6223           1        133
        6223           2        426
        6223           3        303
        6223           4         25
        6224           1         43
        6224           2         15
        6225           0         14
        6225           1        483
        6225           2        763
        6225           3        259
        6225           4         19
        6226           0        204
        6226           1        835
        6226           2        982
        6226           3        237
        6227           0         13
        6227           1         12
        6227           2         57
        6228           1        147
        6228           2        393
        6228           4         90
        6229           1         38
        6229           2         33
        6229           3         20
        6230           0         31
        6230           1        420
        6230           2        210
        6230           3        144
        6231           0         10
        6231           1        113
        6231           2         33
        6232           1         16
        6232           2         13
        6233           0        261
        6233           1        730
        6233           2        375
        6233           3         93
        6233           4         18
        6233           5         19
        6235           0        260
        6235           1       1008
        6235           2       1188
        6235           3        238
        6235           4         77
        6235           5        107
        6236           0        239
        6236           1        514
        6236           2        650
        6236           3         36
        6236           4         17
        6240           2         25
        6244           0         20
        6244           1        133
        6244           2        143
        6244           3         45
        6247           2         13
        6248           1         80
        6248           2        233
        6248           3         34
        6248           4         34
        6249           0         87
        6249           1        345
        6249           2        310
        6249           3         38
        6250           2         36
        6250           5         81
        6252           0          6
        6252           1        434
        6252           2        292
        6252           3        129
        6252           4        194
        6253           1        204
        6253           2        101
        6253           3         21
        6254           1         10
        6254           2         55
        6254           4          9
        6255           0         10
        6255           1          8
        6255           2         11
        6255           3         65
        6256           1          6
        6256           2        259
        6256           3        108
        6256           4         26
        6256           5          9
        6257           0         21
        6257           1        133
        6257           2        633
        6257           3        117
        6257           4         98
        6259           0         36
        6259           1         87
        6259           2        223
        6259           3         76
        6259           4         40
        6259           7         10
        6260           0         63
        6260           1        344
        6260           2        192
        6261           1         37
        6261           2         22
        6262           1        187
        6262           2         55
        6262           4         19
        6263           1        195
        6263           2        179
        6263           3         49
        6263           4         24
        6263           8         20
        6265           1         33
        6265           2        101
        6265           3         49
        6266           0         33
        6266           1        367
        6266           2        223
        6266           3         37
        6266           4         26
        6267           0         12
        6267           1        299
        6267           2        384
        6267           3        170
        6267           4         51
        6267           6         40
        6268           0         72
        6268           1        423
        6268           2        635
        6268           3        192
        6268           4         17
        6268           5         23
        6269           0         97
        6269           1        640
        6269           2        595
        6269           3        118
        6269           4        142
        6269           7         10
        6270           0         97
        6270           1        549
        6270           2         82
        6270           3        107
        6271           0         48
        6271           1        367
        6271           2        394
        6271           3         68
        6272           1        184
        6272           2          8
        6273           0         10
        6273           1        244
        6273           2         68
        6273           3         20
        6275           0        214
        6275           1        747
        6275           2        441
        6275           3        109
        6276           0        175
        6276           1        125
        6276           2         36
        6278           0         10
        6278           1         87
        6279           0         33
        6279           1         36
        6279           2         71
        6280           0         63
        6280           2         10
        6280           3         36
        6281           0         21
        6282           1        189
        6282           2         21
        6283           0         43
        6283           1        114
        6284           0         11
        6284           1        223
        6284           2         23
        6284           3         24
        6285           0        214
        6285           1        512
        6285           2        175
        6285           3         10
        6286           0        223
        6286           1        735
        6286           2         87
        6288           0         75
        6288           1        317
        6288           2        183
        6288           3         54
        6288           4         23
        6289           0        117
        6289           1        396
        6289           2        480
        6289           3         27
        6289           4         27
        6290           1        263
        6290           2        729
        6290           3        201
        6290           4         44
        6291           0         23
        6291           1         24
        6291           2         18
        6291           4         21
        6292           0         39
        6292           1         91
        6292           2        190
        6292           3        204
        6294           1         67
        6294           2         21
        6294           3         13
        6296           0        103
        6296           1        308
        6296           2        182
        6296           3        142
        6297           0         14
        6297           1        187
        6297           2        202
        6299           0         83
        6299           1        279
        6299           2        295
        6299           3         37
        6299           5         10
        6300           0         25
        6300           1        233
        6300           2        109
        6300           3         53
        6300           4         27
        6300           5         40
        6301           0         78
        6301           1        260
        6301           2        188
        6301           3        135
        6301           5         33
        6302           1          9
        6302           2        122
        6302           3         27
        6303           1         23
        6303           2        230
        6303           3         84
        6303           4         10
        6303           7         53
        6304           2          6
        6306           1         16
        6306           5          5
        6307           1        151
        6307           2        255
        6307           3         61
        6307           4         53
        6308           0         23
        6308           1        490
        6308           2        577
        6308           3        239
        6308           5        126
        6309           0         76
        6309           1        414
        6309           2        296
        6310           0        127
        6310           1        228
        6310           2         48
        6310           3         32
        6311           0         11
        6311           1         36
        6311           2         35
        6312           0         95
        6312           1        239
        6312           2         44
        6313           1         24
        6313           2         14
        6314           1          9
        6314           2         29
        6315           0         36
        6315           1        128
        6315           2        153
        6316           0         65
        6316           1        162
        6316           2        135
        6316           3         42
        6317           1         91
        6317           2         46
        6317           3         36
        6318           2         15
        6319           2         21
        6320           0         20
        6320           1        151
        6320           2        270
        6320           3        146
        6320           4         87
        6320           5         27
        6322           1         30
        6322           2        133
        6322           3         26
        6323           2         25
        6324           1         20
        6324           2         88
        6325           0          9
        6325           1        726
        6325           2        162
        6325           3         28
        6325           4         11
        6326           0        108
        6326           1        467
        6326           2        131
        6326           6         14
        6327           1         24
        6328           1         17
        6329           1          7
        6329           5         14
        6330           1         16
        6330           2         91
        6330           3         19
        6330           4         79
        6330           6         14
        6331           0         22
        6331           1         33
        6331           2         51
        6331           3         30
        6331           5         22
        6332           1         51
        6332           2        139
        6332           3         29
        6332           4         57
        6333           0         33
        6333           1         29
        6333           2        100
        6333           3         56
        6334           1         33
        6334           2        186
        6334           3         26
        6334           4         19
        6335           1         37
        6335           2         97
        6335           3         26
        6335           4         22
        6336           0         40
        6336           1        702
        6336           2        249
        6336           3         26
        6336           4        140
        6336           6         38
        6337           0         48
        6337           1        499
        6337           2        473
        6337           3        100
        6337           5         38
        6338           0         10
        6338           1        326
        6338           2        570
        6338           3        116
        6338           4         54
        6339           0         30
        6339           1         65
        6339           2         75
        6339           3         73
        6339           4         31
        6339           5         17
        6340           0         19
        6340           1        220
        6340           2        460
        6340           3        166
        6340           4        115
        6341           0         13
        6341           1        389
        6341           2        620
        6341           3        361
        6341           4         30
        6341           5         10
        6342           0         14
        6342           1        438
        6342           2        691
        6342           3         65
        6342           4         34
        6342           6         30
        6343           0        121
        6343           1        656
        6343           2         90
        6343           3        169
        6343           4         54
        6344           0         90
        6344           1        545
        6344           2        231
        6344           3        245
        6344           4         32
        6345           0         29
        6345           1        660
        6345           2        316
        6345           3        118
        6345           4         60
        6345           6         14
        6346           0         36
        6346           1         77
        6346           2          5
        6346           4         40
        6347           0         27
        6347           1        209
        6347           2        126
        6347           3         74
        6347           4         97
        6347           5         11
        6348           1         46
        6348           2        115
        6348           3        189
        6348           5         60
        6349           1        223
        6349           2         76
        6349           3         19
        6349           4          9
        6349           5          5
        6350           0         14
        6350           1        118
        6350           2        318
        6350           3        211
        6350           4         43
        6350           5         20
        6350           6         17
        6351           0         14
        6351           1         60
        6351           2        102
        6351           3         69
        6352           0         14
        6352           1         16
        6352           2         20
        6353           1         62
        6353           2        111
        6353           3         69
        6353           4         77
        6353           5         19
        6353           6         17
        6354           1         37
        6354           2        157
        6354           3         20
        6354           4         84
        6354           6         50
        6355           1         77
        6355           2         89
        6355           3         16
        6355           5         61
        6356           2         33
        6356           3         39
        6357           1         23
        6357           2        108
        6357           3        151
        6357           4         16
        6357           6         22
        6358           1         23
        6358           2         16
        6358           3         69
        6358           5         30
        6359           1         72
        6359           2        519
        6359           3         62
        6359           4         91
        6359           5         55
        6360           0        165
        6360           1        646
        6360           2        898
        6360           3        562
        6360           4         78
        6360           5         48
        6361           1         62
        6361           2        125
        6361           3        128
        6361           4         87
        6361           6         16
        6362           1        110
        6362           2        392
        6362           3         88
        6362           4         68
        6362           5         23
        6363           1        161
        6363           2        305
        6363           3        261
        6364           1         80
        6364           2        332
        6364           3         86
        6364           4         80
        6364           5         10
        6366           1        678
        6366           2        879
        6366           3        290
        6366           4        119
        6366           5         38
