Fri Sep 24 2021 06:22:39 GMT-0400 (Eastern Daylight Time) - Run Time: 639ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of vehicles in household - n_vehicle


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_vehicle
  gta06_hhld   n_vehicle      total
        4091           2        238
        4091           3        103
        4091           4         15
        4092           1         74
        4092           2        171
        4092           3         70
        4092           4          9
        4092           5         57
        4093           1         37
        4093           2         47
        4093           3         22
        4093           4         63
        4093           5         10
        4094           2         22
        4094           3         24
        4094           5          5
        4096           1         46
        4096           2         30
        4096           3         27
        4096           4         14
        4097           1         60
        4097           2        268
        4097           3         37
        4097           4         25
        4097           5          6
        4098           1         53
        4098           2         89
        4098           3        150
        4098           4         20
        4098           5         35
        4099           1         19
        4099           2        113
        4099           3         50
        4099           4          4
        4100           1         37
        4100           3         20
        4100           4         49
        4103           0          8
        4103           1        665
        4103           2       1399
        4103           3        165
        4103           4         42
        4104           1        153
        4104           2         26
        4104           3         34
        4105           0         61
        4105           1        976
        4105           2       2533
        4105           3        298
        4105           4         53
        4106           2          9
        4108           1        282
        4108           2       1494
        4108           3        283
        4108           4         26
        4110           0         23
        4110           1        950
        4110           2       3231
        4110           3        329
        4110           4        105
        4110           5         46
        4111           1         29
        4111           3         10
        4112           2         20
        4113           2         10
        4113           4         36
        4114           2         40
        4114           3         13
        4118           1        170
        4118           2        212
        4118           3         35
        4119           0         36
        4119           1       1093
        4119           2       1803
        4119           3        220
        4119           4         47
        4120           0         28
        4120           1        921
        4120           2       2395
        4120           3        400
        4120           4         53
        4120           5         27
        4121           1         15
        4121           2         57
        4121           3         19
        4121           4          9
        4122           2         19
        4123           0         36
        4123           1        560
        4123           2        900
        4123           3        163
        4123           4        181
        4123           6         23
        4123           9         53
        4124           0         17
        4124           1        556
        4124           2        656
        4124           3        343
        4124           4        113
        4125           0         60
        4125           1        722
        4125           2       1057
        4125           3        200
        4125           4         58
        4125           5         25
        4126           0         51
        4126           1        563
        4126           2        618
        4126           3         93
        4126           4         37
        4127           0          4
        4127           1        459
        4127           2       2666
        4127           3        246
        4127           4        119
        4128           2          8
        4129           3         27
        4130           2         27
        4131           1         10
        4131           2         33
        4132           1         10
        4132           2        111
        4132           3          9
        4133           1         40
        4133           2         39
        4133           3         10
        4133           4         23
        4134           1         19
        4134           2         92
        4134           3         31
        4134           4          8
        4134           5         31
        4135           2        215
        4135           3         66
        4135           4         13
        4135           5         12
        4135           6         26
        4136           1         37
        4136           2        128
        4136           3         16
        4136           4         40
        4137           1         24
        4137           2         52
        4137           3        141
        4137           4        153
        4138           2         92
        4138           3        118
        4138           4         10
        4139           1         11
        4139           2         94
        4139           3         62
        4139           4         40
        4139           5          9
        4140           1         59
        4140           2        183
        4140           3         20
        4140           4         26
        4140           5         20
        4141           2         54
        4141           3          8
        4141           4          9
        4142           1         29
        4142           2         27
        4143           2        220
        4143           3          9
        4143           4         26
        4143           5         20
        4144           1          9
        4144           2         45
        4148           2         29
        4149           1          7
        4149           2        182
        4149           3        115
        4153           2         30
        4154           1          8
        4154           2        220
        4154           3         97
        4154           4         80
        4155           0          8
        4155           1        113
        4155           2        167
        4155           3         17
        4155           4         27
        4155           5          9
        4156           2          3
        4156           5          4
        4157           1         12
        4157           2        182
        4157           3         12
        4158           1        195
        4158           2        912
        4158           3        239
        4158           4        118
        4158           5         23
        4158           7         18
        4159           0        169
        4159           1        220
        4159           2        478
        4159           3        248
        4159           4         68
        4160           1        377
        4160           2       1673
        4160           3        641
        4160           4        156
        4160           5         48
        4161           1         27
        4161           2         77
        4161           3         74
        4161           4         20
        4162           0         57
        4162           1        594
        4162           2        617
        4162           3        356
        4162           4          4
        4163           0        107
        4163           1        777
        4163           2        836
        4163           3         96
        4163           4         68
        4163          99         54
        4164           0         78
        4164           1        809
        4164           2        686
        4164           3        218
        4164           5         11
        4165           2         87
        4165           3         15
        4165           4         29
        4166           0         14
        4166           1        394
        4166           2        680
        4166           3        426
        4166           4         36
        4167           1         25
        4167           2         86
        4167           3        106
        4167           4         23
        4167           5         17
        4168           1         32
        4168           2         77
        4168           4          5
        4168           5         25
        4169           2         96
        4169           3         64
        4169           7         12
        4170           1         57
        4170           2         99
        4170           3        126
        4170           4         87
        4171           1         46
        4171           2          6
        4172           1         14
        4172           2        102
        4172           3        121
        4172           5          8
        4173           1          8
        4173           2        170
        4173           3        102
        4173           4         17
        4173           5         12
        4174           1         19
        4174           2        188
        4174           3         56
        4174           4         81
        4175           0          6
        4175           1         40
        4175           2        236
        4175           3        157
        4175           4         70
        4175           6        108
        4176           1        161
        4176           2        272
        4176           3        236
        4176           4         86
        4176           5         10
        4177           0         10
        4177           1        281
        4177           2        115
        4177           3         83
