Fri Sep 24 2021 06:19:05 GMT-0400 (Eastern Daylight Time) - Run Time: 673ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of drivers in household - n_licence


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_licence
  gta06_hhld   n_licence      total
        4085           1        429
        4085           2        664
        4085           3        410
        4085           4         14
        4085          99         93
        4086           0         23
        4086           1        319
        4086           2        372
        4086           3         28
        4087           1        264
        4087           2        675
        4087           3         25
        4087           4         71
        4088           0          9
        4088           1        246
        4088           2        997
        4088           3        250
        4088           4         81
        4089           0         21
        4089           1        942
        4089           2       2146
        4089           3        775
        4089           4        164
        4089           5         53
        4090           0         17
        4090           1         76
        4090           2        410
        4090           3        129
        4090           4         15
        4090           5         39
        4090          99         58
        4091           1         10
        4091           2        236
        4091           3         75
        4091           4         51
        4092           1         72
        4092           2        180
        4092           3         73
        4092           5         33
        4092           7         21
        4093           1         26
        4093           2        119
        4093           3         17
        4093           4         17
        4094           2         22
        4094           3         29
        4096           1         34
        4096           2         66
        4096           3         17
        4097           1         75
        4097           2        285
        4097           3         20
        4097           4          6
        4097          99         11
        4098           1         59
        4098           2        172
        4098           3         87
        4098           4         30
        4099           1         38
        4099           2        101
        4099           4         48
        4100           1         37
        4100           4         20
        4100           5         49
        4103           0          8
        4103           1        417
        4103           2       1429
        4103           3        282
        4103           4         87
        4103          99         58
        4104           1         92
        4104           2         79
        4104           3         16
        4104           4         26
        4105           0         61
        4105           1        604
        4105           2       2608
        4105           3        398
        4105           4        222
        4105          99         28
        4106           2          9
        4108           1        200
        4108           2       1397
        4108           3        362
        4108           4        110
        4108          99         16
        4110           1        595
        4110           2       2985
        4110           3        722
        4110           4        179
        4110           5         58
        4110          99        145
        4111           1         29
        4111           2         10
        4112           3         20
        4113           2         10
        4113           4         36
        4114           1         11
        4114           2         30
        4114           3         13
        4118           1         50
        4118           2        368
        4119           0         27
        4119           1        736
        4119           2       1757
        4119           3        371
        4119           4        120
        4119           5         72
        4119          99        116
        4120           0         34
        4120           1        514
        4120           2       2460
        4120           3        545
        4120           4        163
        4120           5         15
        4120          99         95
        4121           1         15
        4121           2         85
        4122           2         19
        4123           0         36
        4123           1        709
        4123           2        845
        4123           3        190
        4123           4        136
        4124           0         34
        4124           1        392
        4124           2        834
        4124           3        346
        4124           4         41
        4124          99         37
        4125           0         60
        4125           1        575
        4125           2       1129
        4125           3        201
        4125           4         99
        4125          99         59
