Fri Sep 24 2021 06:19:05 GMT-0400 (Eastern Daylight Time) - Run Time: 673ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of drivers in household - n_licence


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_licence
  gta06_hhld   n_licence      total
        6008           0         53
        6008           1        255
        6008           2        192
        6008           3         43
        6009           0         55
        6009           2         52
        6010           1         76
        6010           2         67
        6012           0          9
        6012           1        192
        6012           2        532
        6012           3        205
        6012           4         90
        6014           0         59
        6014           1        238
        6014           2        107
        6015           1        183
        6015           2        609
        6015           3        158
        6015           4        127
        6016           0         10
        6016           1        191
        6016           2        641
        6016           3         88
        6016           4         74
        6017           0         29
        6017           1        144
        6017           2        121
        6017           3         15
        6018           1        164
        6018           2        468
        6018           3        117
        6018           4         14
        6018           5         33
        6018           6         34
        6019           0         12
        6019           1        189
        6019           2        465
        6019           3         78
        6019          99         45
        6020           0         54
        6020           1        256
        6020           2        359
        6020           3         14
        6021           1         10
        6022           0         15
        6022           1         68
        6022           2         98
        6022           3         61
        6022           4         33
        6022          99         12
        6023           0         59
        6023           1        335
        6023           2       1396
        6023           3        461
        6023           4        140
        6024           2         85
        6024           3         10
        6024           4         12
        6025           1         63
        6025           2        146
        6025           3         24
        6025           4         83
        6026           1        544
        6026           2        784
        6026           3         79
        6026           4         27
        6027           1        234
        6027           2        420
        6027           3        163
        6027           4        108
        6027          99         39
        6028           1         25
        6028           2        113
        6028           3         18
        6029           1         92
        6029           2        346
        6029           3        117
        6029           4         51
        6030           1         72
        6030           2         68
        6030           3        110
        6030           4         15
        6031           1         61
        6031           2         24
        6031           4         78
        6031           5         23
        6032           1        525
        6032           2       1205
        6032           3        147
        6032           4         86
        6032           5         88
        6032          99         22
        6033           0         36
        6033           1         64
        6033           2         68
        6033           4         31
        6034           0         18
        6034           1        156
        6034           2        241
        6034           3         80
        6034           4         59
        6035           1         29
        6035           2        154
        6035           3         70
        6035           4        101
        6036           1         15
        6036           2        146
        6036           3         91
        6037           2         32
        6038           1        162
        6038           2        390
        6038           4         58
        6038          99         26
        6039           0         29
        6039           1        289
        6039           2       1158
        6039           3        236
        6040           1         37
        6040           2        164
        6040           3         49
        6040           4         44
        6041           0         11
        6041           1         53
        6041           2        206
        6041           3         92
        6042           1         99
        6042           2        225
        6042           3         23
        6042           4         44
        6043           1         76
        6043           2        126
        6043           3         18
        6044           0         19
        6044           1        805
        6044           2       1607
        6044           3        165
        6045           1         38
        6045           2         94
        6045           3        147
        6046           1         41
        6046           2        109
        6046           3        121
        6046          99         18
        6047           0         19
        6047           1        239
        6047           2        961
        6047           3         84
        6048           1        170
        6048           2        250
        6048           3         52
        6048           4         51
        6049           2         26
        6050           1        103
        6050           2        511
        6050           3         87
        6050           4         27
        6051           1         90
        6051           2        169
        6051           3         34
        6052           1        101
        6052           2        162
        6052           3        175
        6053           1         60
        6053           2        194
        6053           3         18
        6053           4         12
        6053           5         51
        6054           0          8
        6054           1         80
        6054           2        289
        6054           3         62
        6054          99         40
        6055           0         13
        6055           1        143
        6055           2        346
        6055           3         50
        6055          99         15
        6056           0         42
        6056           1        376
        6056           2        232
        6056           3        108
        6056           4         62
        6056          99         44
        6057           0         59
        6057           1        199
        6057           2        344
        6057           3         61
        6058           0         43
        6058           1        180
        6058           2        312
        6059           1        176
        6059           2        387
        6059           3         41
        6059           4         29
        6059          99         22
        6060           0         60
        6060           1        158
        6060           2        107
        6061           1        211
        6061           2        435
        6061           3        113
        6061          99         13
        6062           0         15
        6062           1        239
        6062           2        477
        6062           3         34
        6062           4        184
        6062           5         42
        6062          99         15
        6063           1        118
        6063           2        255
        6063           3         57
        6063           4         98
        6064           0        107
        6064           1        415
        6064           2        851
        6064           3        259
        6064           4         59
        6064          99         22
        6065           0         28
        6065           1         21
        6065           2        159
        6065           3         72
        6066           0        101
        6066           1        301
        6066           2        362
        6066           3         10
        6066           4         99
        6067           0         19
        6067           1        199
        6067           2        269
        6067           3        131
        6067           4         28
        6067           6         31
        6067          99         11
        6068           0         76
        6068           1        239
        6068           2        438
        6068           3         94
        6068          99         25
        6069           1        119
        6069           2        217
        6069           3         83
        6070           2         33
        6071           0         88
        6071           1        557
        6071           2        920
        6071           3        252
        6071           4        133
        6071          99         33
        6072           1        379
        6072           2        131
        6072           3         20
        6073           0         72
        6073           1         12
        6074           0        213
        6074           1        712
        6074           2        760
        6074           3         65
        6074           4         78
        6074          99         44
        6075           0         85
        6075           1        540
        6075           2        533
        6075           3        149
        6075           4         97
        6076           1         51
        6076           2          6
        6079           0        303
        6079           1        439
        6079           2        452
        6079           3         72
        6079          99         26
        6080           1         14
        6080           2         65
        6081           0         40
        6081           1        456
        6081           2        468
        6081           3        204
        6081           4         54
        6082           1        233
        6082           2        398
        6082           3         41
        6083           0        243
        6083           1        750
        6083           2        335
        6085           0         18
        6085           1         33
        6085           2        124
        6090           1        457
        6090           2        483
        6090           3        180
        6090           4         76
        6090           5         73
        6090          99         42
        6091           0         33
        6091           1        231
        6091           2        291
        6091           3         20
        6092           0         92
        6092           1        219
        6092           2        375
        6092           3        103
        6092           4         25
        6094           0         23
        6094           1        192
        6094           2        157
        6094           3         47
        6095           2         14
        6095           4         42
        6097           0         25
        6097           1        133
        6097           2        315
        6097           3        318
        6097           4         21
        6097           5         53
        6097          99         20
        6098           0         11
        6098           1        392
        6098           2        482
        6098           3        110
        6098           4         68
        6098          99          9
        6100           0         10
        6100           1        539
        6100           2        656
        6100          99         21
        6101           0        235
        6101           1        764
        6101           2        668
        6101           3         37
        6101           4         37
        6102           0         40
        6102           1        274
        6102           2        188
        6102           3         87
        6103           0         15
        6103           1         10
        6104           0         32
        6104           1         81
        6104           2        136
        6104          99         14
        6105           0         57
        6105           1        287
        6105           2        276
        6105          99         17
        6106           0         31
        6106           1        179
        6106           2        347
        6106           3         17
        6106          99         36
        6107           0        160
        6107           1        780
        6107           2        581
        6107           3         16
        6107          99         44
        6109           0         89
        6109           1        530
        6109           2        577
        6109           3        161
        6109           4         33
        6109          99         31
        6112           0         22
        6112           1         80
        6112           2        381
        6112           4         41
        6113           0         17
        6113           1        355
        6113           2        324
        6113           3         49
        6113           5        118
        6113          99         28
        6115           1        176
        6115           2         64
        6116           0          7
        6116           1         16
        6116           2         45
        6117           0         88
        6117           1        192
        6117           2        190
        6117           3         36
        6117           4         50
        6118           0         34
        6118           1        587
        6118           2        422
        6118           3         34
        6118          99         15
        6119           1         86
        6119           2         61
        6120           1         55
        6120           2         99
        6121           0        146
        6121           1        352
        6121           2        130
        6121           3         20
        6122           2         10
        6123           0         17
        6123           1        156
        6123           2         24
        6124           0         46
        6124           1         91
        6125           1         96
        6127           1          6
        6129           0         92
        6129           1        133
        6129           2         10
        6129          99         12
        6130           0         46
        6130           1         54
        6130           2        184
        6131           0         49
        6132           0          8
        6132           1        295
        6132           2        159
        6133           0         17
        6133           1        227
        6133           2        288
        6133           4         25
        6134           0        157
        6134           1        181
        6134           2         44
        6135           0          6
        6135           1         92
        6135           2        124
        6135           3         30
        6137           1         78
        6137           2        526
        6137           3        159
        6137           4        224
        6137          99          9
        6138           0         28
        6139           0         18
        6139           1         58
        6139           2        166
        6139           4         21
        6140           0        119
        6140           1        242
        6140           2        251
        6140           3         36
        6140          99         26
        6141           1        155
        6141           2        252
        6141           3         53
        6141           4         70
        6141           5         32
        6141           8         35
        6142           1        639
        6142           2        128
        6142           3        130
        6143           1         48
        6143           2         71
        6143           3          8
        6144           1         64
        6144           2        136
        6144           3         18
        6145           0         20
        6145           1         15
        6145           2         13
        6146           0        341
        6146           1        964
        6146           2       1217
        6146           3        281
        6146           4         78
        6146          99         80
        6147           2         34
        6150           0         55
        6150           1        329
        6150           2        291
        6150           3         45
        6150          99         15
        6151           1         57
        6153           1         91
        6153           2         45
        6153           3         78
        6154           0         34
        6154           1        273
        6154           2        388
        6154           3        269
        6154           4         65
        6154          99         22
        6155           0         12
        6155           1         19
        6155           2        102
        6155          99          8
        6156           0          9
        6156           1         20
        6158           0         10
        6158           1        216
        6158           2        135
        6158           3         36
        6158           4          9
        6158           5         31
        6159           1         47
        6159           2        340
        6159           3         21
        6159           4         24
        6159           5         31
        6159          99          5
        6160           0        113
        6160           1        399
        6160           2        270
        6160           3         27
        6161           0         10
        6161           1         50
        6161           2        188
        6161           3         30
        6161           4         31
        6162           1        121
        6162           2        120
        6162           3         36
        6162           4         93
        6162          99         35
        6163           1         47
        6164           1        131
        6164           2        360
        6164           3         73
        6164           4         75
        6165           0         13
        6165           1        101
        6165           2        124
        6166           0         46
        6166           1        278
        6166           2        457
        6166           3         22
        6166           4         78
        6166          99         37
        6167           2         50
        6168           1         99
        6168           2        420
        6168           3        110
        6168           4        188
        6169           4         68
        6170           0         20
        6170           1        224
        6170           2        907
        6170           3        308
        6170           4        100
        6170          99         50
        6171           1        104
        6171           2        327
        6171           3        155
        6171           4         55
        6171           5         22
        6171          99         46
        6172           0         12
        6172           1        281
        6172           2        144
        6172           3         18
        6172           4         23
        6173           0         50
        6173           1        213
        6173           2        351
        6173           3         39
        6173           4         14
        6174           0         60
        6174           1        343
        6174           2        128
        6174           3         17
        6174          99         17
        6175           0         44
        6175           1        272
        6175           2        100
        6175           3         40
        6175          99          9
        6176           0         65
        6176           1        335
        6176           2        127
        6176           3         11
        6176           5         20
        6177           0         15
        6177           1        124
        6177           2         54
        6177           3          9
        6177           4         13
        6177           5         24
        6178           2          4
        6179           1         25
        6179           2        143
        6179           3         20
        6180           2         69
        6180           4         65
        6181           1         34
        6181           2         50
        6182           0         67
        6182           1        104
        6182           2        565
        6182           3         66
        6183           1         65
        6183           2        135
        6183           3         28
        6184           1         25
        6184           2         10
        6185           1         19
        6185           2         28
        6186           1         57
        6186           2         71
        6186           3         10
        6187           1          8
        6187           2         65
        6187           3         70
        6187           4         25
        6188           1         88
        6188           2        139
        6188           3        120
        6189           0          4
        6189           2         40
        6189           3         16
        6190           1          4
        6191           4         92
        6192           2         32
        6193           0        160
        6193           1        532
        6193           2        448
        6193           3        120
        6193           4        226
        6194           1        287
        6194           2        643
        6194           3         82
        6194           4         60
        6195           1         41
        6195           2        121
        6195          99         10
        6196           1        206
        6196           2        569
        6196           3        299
        6196           4        106
        6197           1         38
        6197           2         15
        6198           0         91
        6198           1        445
        6198           2        786
        6198           3        214
        6198           4        154
        6198           5         44
        6199           0        255
        6199           1        839
        6199           2       1203
        6199           3        202
        6199           4        100
        6199          99          5
        6200           1         14
        6201           0         39
        6201           1        170
        6201           2        149
        6201           3         10
        6201           4         28
        6202           0        175
        6202           1         19
        6202           2          6
        6203           0        175
        6203           1        154
        6203           2         64
        6204           0        415
        6204           1        470
        6204           2         17
        6205           0         36
        6205           1        208
        6205           2        200
        6205           3         30
        6206           0          5
        6206           1        144
        6206           2        372
        6206           5         58
        6207           0         25
        6207           1        190
        6207           2        181
        6207           3         81
        6207          99         84
        6208           1         28
        6208           2         66
        6209           1         37
        6210           1         42
        6213           0        120
        6213           1        504
        6213           2        199
        6213           3         95
        6214           1         44
        6215           2         56
        6215           3         11
        6216           0         63
        6216           1        231
        6216           2        121
        6216          99         16
        6217           0        156
        6217           1        746
        6217           2        537
        6217           3         48
        6218           0         47
        6218           1        420
        6218           2        334
        6218           3        203
        6218          99         14
        6219           0         64
        6219           1        656
        6219           2        958
        6219           3        167
        6219           4         65
        6219          99         24
        6222           0         10
        6222           1        440
        6222           2        895
        6222           3        211
        6222           4        161
        6222          99         61
        6223           1        138
        6223           2        483
        6223           3        217
        6223           5         25
        6223          99         23
        6224           1         33
        6224           2         25
        6225           1        296
        6225           2       1059
        6225           3        149
        6225           4         25
        6225          99         10
        6226           0        124
        6226           1        698
        6226           2        797
        6226           3        460
        6226           4        124
        6226          99         53
        6227           0         13
        6227           1         12
        6227           2         57
        6228           1        112
        6228           2        512
        6228           3          6
        6229           1         16
        6229           2         74
        6230           0         31
        6230           1        294
        6230           2        377
        6230           3         41
        6230           4         63
        6231           0         10
        6231           1         89
        6231           2         58
        6232           1         29
        6233           0        185
        6233           1        607
        6233           2        552
        6233           3         83
        6233           4         68
        6235           0        254
        6235           1        961
        6235           2       1341
        6235           3        138
        6235           4         77
        6235           6        107
        6236           0        189
        6236           1        445
        6236           2        693
        6236           3        105
        6236           4         24
        6240           3         25
        6244           0         20
        6244           1         29
        6244           2        247
        6244           4         45
        6247           2         13
        6248           1         26
        6248           2        284
        6248           3         71
        6249           0         70
        6249           1        200
        6249           2        375
        6249           3        126
        6249          99         10
        6250           2         40
        6250           3         11
        6250           5         65
        6252           0          6
        6252           1        346
        6252           2        466
        6252           3        155
        6252           4         82
        6253           0         11
        6253           1        207
        6253           2        109
        6254           0         11
        6254           1         10
        6254           2         54
        6255           0         10
        6255           2         28
        6255           3         56
        6256           1         12
        6256           2        312
        6256           3         62
        6256           4         22
        6257           0         21
        6257           1        125
        6257           2        523
        6257           3        189
        6257           4        112
        6257           5         31
        6259           1         80
        6259           2        295
        6259           3         19
        6259           4         10
        6259           5         40
        6259          99         28
        6260           0         63
        6260           1        305
        6260           2        231
        6261           1         37
        6261           2         22
        6262           1        121
        6262           2        111
        6262           4         19
        6262          99          9
        6263           1        153
        6263           2        258
        6263           3         55
        6265           1         33
        6265           2         93
        6265           3         56
        6266           0         33
        6266           1        305
        6266           2        322
        6266           3         26
        6267           0         12
        6267           1        170
        6267           2        496
        6267           3        197
        6267           4         41
        6267           6         40
        6268           0         12
        6268           1        326
        6268           2        771
        6268           3        115
        6268           4         97
        6268          99         40
        6269           0         56
        6269           1        482
        6269           2        735
        6269           3        127
        6269           4        126
        6269           5         46
        6269          99         32
        6270           0         90
        6270           1        454
        6270           2        248
        6270           4         22
        6270          99         23
        6271           0         48
        6271           1        374
        6271           2        359
        6271           3         78
        6271           4         18
        6272           1        137
        6272           2         51
        6272           3          4
        6273           0         10
        6273           1        234
        6273           2         88
        6273           3         10
        6275           0        155
        6275           1        594
        6275           2        532
        6275           3         36
        6275           4        108
        6275          99         86
        6276           0        110
        6276           1        179
        6276           2         31
        6276           3         16
        6278           1         22
        6278           2         75
        6279           2        140
        6280           0         63
        6280           2         46
        6281           1         21
        6282           1        189
        6282           2         21
        6283           0         23
        6283           1        133
        6284           1        150
        6284           2        131
        6285           0        188
        6285           1        402
        6285           2        300
        6285           3         22
        6286           0         68
        6286           1        711
        6286           2        267
        6288           0         61
        6288           1        267
        6288           2        257
        6288           3         65
        6289           0         18
        6289           1        377
        6289           2        450
        6289           3        162
        6289           4         27
        6289          99         12
        6290           1        200
        6290           2        816
        6290           3        220
        6291           0         23
        6291           1         24
        6291           2         18
        6291           3         21
        6292           0         26
        6292           1        116
        6292           2        269
        6292           3        112
        6294           1         56
        6294           2         24
        6294           3         21
        6296           0         53
        6296           1        302
        6296           2        350
        6296           3         29
        6297           0          4
        6297           1        168
        6297           2        230
        6299           0         83
        6299           1        252
        6299           2        245
        6299           3         84
        6299           4         30
        6299          99         10
        6300           0         12
        6300           1        221
        6300           2        160
        6300           3         92
        6301           0         35
        6301           1        252
        6301           2        290
        6301           3        116
        6302           2        139
        6302           3         19
        6303           1         17
        6303           2        179
        6303           3         54
        6303           4         53
        6303          99         97
        6304           2          6
        6306           1         16
        6306           5          5
        6307           1        127
        6307           2        289
        6307           3         96
        6307          99          8
        6308           0         10
        6308           1        448
        6308           2        597
        6308           3        303
        6308           5         98
        6309           0         45
        6309           1        364
        6309           2        280
        6309           3         98
        6310           0        127
        6310           1        105
        6310           2        170
        6310           3         32
        6311           0         11
        6311           1         23
        6311           2         48
        6312           0         69
        6312           1        221
        6312           2         87
        6313           1         24
        6313           2         14
        6314           2         24
        6314           3         15
        6315           0          8
        6315           1        149
        6315           2        138
        6315           3         23
        6316           0         75
        6316           1        114
        6316           2        214
        6317           1         21
        6317           2        116
        6317           3         36
        6318           2         15
        6319           2         21
        6320           0         20
        6320           1        201
        6320           2        379
        6320           3         56
        6320           4         33
        6320          99         15
        6322           1         74
        6322           2         99
        6322           3         16
        6323           1         11
        6323           2         13
        6324           2        108
        6325           0          9
        6325           1        583
        6325           2        297
        6325           3         46
        6326           0         97
        6326           1        291
        6326           2        279
        6326           3         52
        6327           1         24
        6328           1         17
        6329           2         21
        6330           1         16
        6330           2        124
        6330           3         53
        6330           4         26
        6331           1         55
        6331           2         82
        6331           4         22
        6332           1         53
        6332           2        134
        6332           3         14
        6332           4         40
        6332          99         34
        6333           0         33
        6333           1         29
        6333           2        107
        6333           3         45
        6333           4          5
        6334           1         17
        6334           2        135
        6334           3        111
        6335           1         47
        6335           2        107
        6335           3         15
        6335           7         12
        6336           0         40
        6336           1        562
        6336           2        555
        6336           4         38
        6337           1        481
        6337           2        542
        6337           3        108
        6337          99         26
        6338           1        271
        6338           2        757
        6338           3         49
        6339           0         30
        6339           1         65
        6339           2         63
        6339           3        134
        6340           0         19
        6340           1        202
        6340           2        529
        6340           3        105
        6340           4         92
        6340           6         31
        6341           0         13
        6341           1        308
        6341           2        816
        6341           3        123
        6341           4        163
        6342           1        291
        6342           2        865
        6342           3        115
        6343           1        656
        6343           2        291
        6343           3        132
        6343          99         11
        6344           0         90
        6344           1        521
        6344           2        327
        6344           3         40
        6344           4        117
        6344          99         49
        6345           0         18
        6345           1        461
        6345           2        613
        6345           3        105
        6346           0          8
        6346           1         68
        6346           2         38
        6346           3          5
        6346           4         40
        6347           0         27
        6347           1        118
        6347           2        261
        6347           3         60
        6347           4         79
        6348           1         41
        6348           2        364
        6348           3          6
        6349           1        115
        6349           2        204
        6349           3         13
        6350           0         14
        6350           1        122
        6350           2        459
        6350           3        145
        6351           0         14
        6351           1         33
        6351           2        198
        6352           0         14
        6352           1         20
        6352           2         16
        6353           1         50
        6353           2        169
        6353           3         75
        6353           4         61
        6354           1         31
        6354           2        226
        6354           3         20
        6354           4         12
        6354           6         49
        6354          99         11
        6355           1          8
        6355           2        174
        6355           3         36
        6355           5         25
        6356           2         33
        6356           4         39
        6357           1         34
        6357           2        164
        6357           3         87
        6357           4         22
        6357          99         12
        6358           1         15
        6358           2         50
        6358           4         73
        6359           1        116
        6359           2        621
        6359           3         37
        6359           4         24
        6360           0         46
        6360           1        619
        6360           2       1212
        6360           3        285
        6360           4        172
        6360           5         48
        6360          99         14
        6361           1         57
        6361           2        196
        6361           3         41
        6361           4        125
        6362           1        174
        6362           2        445
        6362           3         55
        6362           4          8
        6363           1        172
        6363           2        422
        6363           3         49
        6363           4         57
        6363           5         27
        6364           1        114
        6364           2        432
        6364           3          7
        6364           4         29
        6364          99          6
        6366           1        571
        6366           2       1138
        6366           3         78
        6366           4        205
        6366          99         13
