Fri Sep 24 2021 06:05:25 GMT-0400 (Eastern Daylight Time) - Run Time: 2402ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 5, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : mode_prime
  gta06_orig  mode_prime      total
        3631           B        355
        3631           D       1263
        3631           G          9
        3631           J         81
        3631           P        250
        3631           T         20
        3632           B         30
        3632           D       1167
        3632           J        132
        3632           P         69
        3633           C         29
        3633           D       2252
        3633           M         17
        3633           P         92
        3634           B         41
        3634           D       3925
        3634           P        825
        3635           D        813
        3635           P         82
        3635           T         14
        3636           D         58
        3636           P         20
        3637           D         77
        3637           P         21
        3638           D        278
        3638           P         30
        3639           C         22
        3639           D       3596
        3639           G         16
        3639           P        202
        3640           D        227
        3641           D        228
        3642           D        226
        3642           G         13
        3642           P         56
        3643           C         21
        3643           D        336
        3643           P         12
        3644           D        104
        3644           P         52
        3645           D        320
        3645           P        124
        3645           S         72
        3646           D        147
        3646           P         40
        3646           W         43
        3647           D         53
        3647           P         35
        3648           D        158
        3648           P         20
        3649           B         73
        3649           D        612
        3649           P         85
        3650           D        637
        3650           P        101
        3651           D        406
        3651           P         55
        3652           D         55
        3652           P         26
        3653           D        339
        3653           P         18
        3654           D        364
        3654           P         97
        3655           D        362
        3655           P         67
        3655           S          9
        3656           D         73
        3657           D         24
        3658           D        185
        3658           P          9
        3659           D        460
        3659           G         13
        3659           P         58
        3660           D        642
        3660           P         15
        3661           D        164
        3661           P         55
        3662           D       1825
        3662           J         13
        3662           P        174
        3663           D        122
        3663           P         40
        3664           D        185
        3665           D        275
        3665           P         17
        3666           D         51
        3667           D        132
        3668           D         24
        3668           W         17
        3669           D        109
        3670           B         34
        3670           D        399
        3670           P         36
        3671           D       1483
        3671           P        212
        3672           D        152
        3673           D         80
        3673           P         34
        3674           D        171
        3674           G         18
        3675           D         24
        3676           D        129
        3676           P         20
        3677           D         86
        3678           D        163
        3678           P         25
        3679           D         49
        3680           D        247
        3680           P         82
        3683           D         28
        3684           D         68
        3684           P          3
        3685           D        233
        3685           P         30
        3686           D        160
        3686           P         29
        3687           D         90
        3688           D        154
        3688           P         63
        3689           D         65
        3689           P         30
        3690           D        233
        3690           P         11
        3691           D         49
        3691           P         48
        3691           S         16
        3692           D        373
        3692           P         35
        3693           D       1372
        3693           P        219
        3694           D        294
        3694           S         18
        3695           B          9
        3695           D        378
        3695           P         86
        3696           D        853
        3697           D         80
        3698           D        153
        3698           P         16
        3699           D        873
        3699           J         27
        3699           P         92
        3700           D       1106
        3700           P         76
        3701           B         16
        3701           D       1470
        3701           O         21
        3701           P         74
        3702           B         45
        3702           D        886
        3702           J         59
        3702           P         61
        3703           D       1151
        3703           P         94
        3704           B         12
        3704           D        543
        3705           D       1154
        3705           P         85
        3706           B         45
        3706           D        314
        3707           D        394
        3707           P         20
        3707           T         51
        3708           D        105
        3708           G          5
        3709           B        227
        3709           D       3279
        3709           O         26
        3709           P        954
        3709           T        376
        3710           D       1351
        3710           P         75
        3711           D        200
        3711           P         44
        3712           D         99
        3713           D        615
        3714           D        197
        3715           D        184
        3715           G         12
        3716           D        164
        3717           C         13
        3717           D        220
        3717           P         37
        3718           D        295
        3719           D        362
        3720           B         20
        3720           D        865
        3720           P        144
        3720           S         28
        3721           D       1659
        3721           P        130
        3721           T         10
        3722           D         93
        3723           D         30
        3724           D         75
        3809           D        455
        3809           P         50
        3810           D        185
        3811           D        161
        3811           P         64
        3812           D        251
        3812           P         20
        3812           S         36
        3813           D        107
        3813           P         15
        3814           D         15
        3815           D        239
        3815           P         68
        3816           B         19
        3816           D       1413
        3816           J         12
        3816           P        508
        3816           T        130
        3817           D         79
        3818           D        194
        3819           D        435
        3819           P         24
        3820           D        425
        3820           P        101
        3821           B         13
        3821           D        875
        3821           P         28
        3822           B         20
        3822           D        526
        3822           P         42
        3823           D        609
        3823           P         46
        3824           D        239
        3825           B         15
        3825           D        629
        3827           P         40
        3828           D        204
        3828           P         42
        3829           D         12
        3830           D         55
        3830           P         28
        3831           D        285
        3831           P         34
        3832           D        109
        3833           D         25
        3834           D        274
        3834           P         15
        3835           B         60
        3835           D        846
        3835           T         37
        3836           B         25
        3836           D        560
        3836           P         63
        3838           D         66
        3840           D         53
        3841           D        230
        3841           P        104
        3842           B         18
        3842           D        145
        3842           J         16
        3842           U         55
        3842           W         19
        3843           D         42
        3844           D        102
        3846           D         23
        3847           B         30
        3847           D        436
        3847           P         63
        3848           D        384
        3848           W         67
        3849           D        190
        3850           D        337
        3850           J          9
        3850           P         20
        3851           B         86
        3851           D       1786
        3851           J         47
        3851           P        295
        3851           W         67
        3852           D         13
        3852           P         13
        3853           D        314
        3853           W         24
        3854           D        614
        3854           J         19
        3854           P        145
        3855           D         47
        3856           D         12
        3856           P         12
        3857           D         21
        3857           P          3
        3858           D         63
        3859           D          3
        3859           P          3
        3860           D         18
        3862           D        105
        3863           D        117
        3863           P         30
        3864           D        470
        3865           D         97
        3866           D         97
        3867           D        108
        3867           P         18
        3868           C         20
        3868           D        267
        3868           P         30
        3869           D        209
        3869           P         49
        3870           D        408
        3870           P         74
        3871           D        195
        3871           P         12
        3872           D        181
        3872           J         20
        3873           D        105
        3874           D        288
        3874           P         32
        3875           D         44
        3876           D         30
        3876           P         25
        3877           D        258
        3877           P         47
        3878           D        102
        3879           D        364
        3879           P         31
        4001           B        100
        4001           D       6584
        4001           G        446
        4001           J        107
        4001           P       1420
        4001           S        463
        4001           U         34
        4001           W         57
        4002           B         14
        4002           D       5092
        4002           O         11
        4002           P        777
        4002           W         53
        4003           B        149
        4003           C         36
        4003           D       5115
        4003           G         17
        4003           P        283
        4004           B        135
        4004           C         68
        4004           D       3557
        4004           G         67
        4004           J         34
        4004           M          6
        4004           P        936
        4004           S        138
        4004           U         47
        4004           W        119
        4005           B        290
        4005           C        206
        4005           D       7893
        4005           G        197
        4005           J         22
        4005           O         11
        4005           P       1820
        4005           S        197
        4005           T         20
        4005           W        596
        4006           B         10
        4006           C        141
        4006           D       2702
        4006           G        129
        4006           P        563
        4006           S        316
        4006           W        477
        4007           B        450
        4007           C        123
        4007           D       6186
        4007           G        130
        4007           J          8
        4007           O         24
        4007           P       1129
        4007           S         66
        4007           T         30
        4007           W        383
        4008           B         16
        4008           C         80
        4008           D       4492
        4008           J         11
        4008           P        491
        4008           T         18
        4009           B        176
        4009           C         59
        4009           D       3888
        4009           G         17
        4009           J         22
        4009           P        443
        4009           W         96
        4010           B         52
        4010           C         64
        4010           D       1795
        4010           G         54
        4010           J         50
        4010           P        346
        4010           S        201
        4010           W         45
        4011           B        376
        4011           C        159
        4011           D       8803
        4011           G        172
        4011           J         36
        4011           M         46
        4011           P       1946
        4011           S       1066
        4011           U         26
        4011           W        759
        4012           B        379
        4012           C        134
        4012           D       7442
        4012           G        115
        4012           J        124
        4012           M         26
        4012           P       1297
        4012           S        196
        4012           T         20
        4012           W        437
        4013           C         79
        4013           D        835
        4013           G         56
        4013           J         26
        4013           P        160
        4013           S        137
        4013           W         25
        4014           B        140
        4014           C         17
        4014           D       6772
        4014           G        176
        4014           J         99
        4014           P        829
        4014           W        177
        4015           B         47
        4015           D       1734
        4015           G         12
        4015           P        131
        4015           S         48
        4015           T          8
        4015           W         68
        4016           B        244
        4016           C        103
        4016           D       4233
        4016           G         60
        4016           J         58
        4016           O         11
        4016           P        742
        4016           S         20
        4016           T         20
        4016           U         70
        4016           W        170
        4017           B         31
        4017           C         99
        4017           D       2735
        4017           G         98
        4017           J         33
        4017           P        679
        4017           S        130
        4018           B        122
        4018           C        179
        4018           D       4715
        4018           G        171
        4018           J         47
        4018           O         66
        4018           P       1237
        4018           S        470
        4018           T         85
        4018           W        673
        4019           B         20
        4019           D       1219
        4019           P         68
        4020           C         94
        4020           D       5182
        4020           G        476
        4020           J        209
        4020           P        765
        4020           S         57
        4020           T         76
        4020           W        515
        4021           B         68
        4021           C         16
        4021           D       2722
        4021           P        612
        4021           W        100
        4022           D       3368
        4022           P        146
        4023           B         41
        4023           C         40
        4023           D       6127
        4023           G        401
        4023           J        166
        4023           O         11
        4023           P        896
        4023           S        691
        4023           W        423
        4024           B         47
        4024           D       6295
        4024           P        668
        4024           S         46
        4024           W         23
        4025           B        177
        4025           C        577
        4025           D       8367
        4025           G        219
        4025           J        244
        4025           P       1642
        4025           S        178
        4025           U         11
        4025           W       1589
        4026           B         55
        4026           C         91
        4026           D       2816
        4026           G        121
        4026           J         88
        4026           M         44
        4026           P        430
        4026           W        140
        4027           B        127
        4027           C         80
        4027           D       3686
        4027           G         39
        4027           J         75
        4027           P        587
        4027           W        178
        4028           C        119
        4028           D       1247
        4028           G         42
        4028           P        168
        4028           S         82
        4028           W        112
        4029           B        845
        4029           C        131
        4029           D       7313
        4029           G        132
        4029           J         82
        4029           O         37
        4029           P       1804
        4029           S        328
        4029           T         15
        4029           W       1765
        4030           B        345
        4030           C        186
        4030           D       6529
        4030           G         61
        4030           J        172
        4030           P       1780
        4030           S        753
        4030           T         97
        4030           W        625
        4031           B        362
        4031           C        243
        4031           D       3951
        4031           G         98
        4031           J        107
        4031           P        613
        4031           S        204
        4031           W        396
        4032           B         53
        4032           D       1952
        4032           G        162
        4032           J         23
        4032           P        420
        4032           S        124
        4032           W        218
        4033           B         54
        4033           C         45
        4033           D       6626
        4033           G        388
        4033           J         43
        4033           P       1825
        4033           S        214
        4033           T         19
        4033           W        784
        4034           B         48
        4034           C         28
        4034           D       5162
        4034           G        110
        4034           J         61
        4034           P       1424
        4034           S        238
        4034           T         29
        4034           W        114
        4035           B        409
        4035           C         17
        4035           D       6441
        4035           G         67
        4035           J         15
        4035           P       1423
        4035           S         40
        4035           W        206
        4036           B        218
        4036           C         74
        4036           D       3570
        4036           G        124
        4036           J         71
        4036           M         10
        4036           O         62
        4036           P        913
        4036           S        288
        4036           W        579
        4037           B        163
        4037           C        418
        4037           D       8960
        4037           G        324
        4037           J        318
        4037           P       2358
        4037           S        350
        4037           W       1326
        4038           B        111
        4038           C        202
        4038           D       2899
        4038           G         34
        4038           J         19
        4038           P        851
        4038           S        159
        4038           W        486
        4039           B        378
        4039           C        138
        4039           D      10110
        4039           G        348
        4039           J         63
        4039           O         36
        4039           P       1948
        4039           S        473
        4039           W       1292
        4040           B         53
        4040           C         46
        4040           D       9180
        4040           G        120
        4040           J        108
        4040           P       2278
        4040           W        227
        4041           B        377
        4041           C        373
        4041           D      13523
        4041           G        459
        4041           J        156
        4041           P       2677
        4041           S        372
        4041           T         19
        4041           U         46
        4041           W       1962
        4042           B        125
        4042           C        347
        4042           D       6141
        4042           G        170
        4042           J         77
        4042           P        932
        4042           S        157
        4042           T         46
        4042           W        711
        4043           D         41
        4043           P         11
        4044           D        470
        4044           P         13
        4045           B        159
        4045           C        117
        4045           D       6634
        4045           G        432
        4045           J         95
        4045           O         66
        4045           P       1145
        4045           S        371
        4045           T         26
        4045           U         31
        4045           W        302
        4046           D         86
        4047           D        191
        4047           P         88
        4048           B         20
        4048           D        164
        4048           P         40
        4049           D        398
        4049           P        185
        4050           D       1481
        4050           G         11
        4050           P        299
        4050           S         46
        4051           B        116
        4051           C         38
        4051           D       4634
        4051           G         24
        4051           M         28
        4051           P        997
        4051           S        225
        4051           W        315
        4052           B        155
        4052           C         22
        4052           D       4201
        4052           G         22
        4052           P        809
        4052           W         48
        4053           B         55
        4053           C         28
        4053           D       6167
        4053           G         22
        4053           O         17
        4053           P       1525
        4053           S        177
        4053           W        148
        4054           B         90
        4054           C          7
        4054           D       3409
        4054           G         84
        4054           J         15
        4054           O         17
        4054           P        501
        4054           S        144
        4054           T         17
        4054           W        127
        4055           B         40
        4055           C        103
        4055           D       4669
        4055           G         27
        4055           P        921
        4055           S        376
        4055           W        190
        4056           B        236
        4056           C         47
        4056           D       2891
        4056           P        448
        4056           T         49
        4056           W         78
        4057           B        520
        4057           C         73
        4057           D      12362
        4057           G         45
        4057           J         72
        4057           M         28
        4057           O         31
        4057           P       2870
        4057           S        124
        4057           W        546
        4058           B         21
        4058           C         10
        4058           D       1932
        4058           G         78
        4058           J         10
        4058           M         13
        4058           P        131
        4058           S         46
        4058           U         16
        4058           W         74
        4059           B        171
        4059           C        418
        4059           D      11167
        4059           G        135
        4059           J         77
        4059           M         62
        4059           O         30
        4059           P       1992
        4059           S         76
        4059           U         25
        4059           W       1021
        4060           B        299
        4060           C        277
        4060           D       9526
        4060           G         49
        4060           J         20
        4060           O         30
        4060           P       1776
        4060           T         36
        4060           W        681
        4061           B        331
        4061           C        308
        4061           D       5447
        4061           G         35
        4061           J         23
        4061           P       1142
        4061           W        249
        4062           B        108
        4062           C        349
        4062           D       6884
        4062           G         57
        4062           J        104
        4062           M         13
        4062           P       1111
        4062           S         61
        4062           W        232
        4063           B        233
        4063           C         91
        4063           D      10217
        4063           G         20
        4063           J         12
        4063           M         14
        4063           P       1427
        4063           T         29
        4063           W         77
        4064           B        291
        4064           C        154
        4064           D       5115
        4064           G         58
        4064           J         77
        4064           M         40
        4064           O         32
        4064           P       1029
        4064           S        535
        4064           T         15
        4064           U         31
        4064           W        480
        4065           B         60
        4065           C         53
        4065           D       2693
        4065           G         37
        4065           J         90
        4065           P        306
        4065           W         94
        4066           C        127
        4066           D       1786
        4066           G         19
        4066           P        245
        4066           S        110
        4066           W        401
        4067           C         32
        4067           D       2200
        4067           G         98
        4067           J         12
        4067           P        627
        4067           S         12
        4067           W        213
        4068           B        108
        4068           D       7853
        4068           P        465
        4068           T         14
        4068           W        102
        4069           B        149
        4069           C         22
        4069           D       7370
        4069           G         60
        4069           J        113
        4069           P        875
        4069           S         35
        4069           U         56
        4069           W        127
        4070           C         21
        4070           D       2089
        4070           G         52
        4070           J         54
        4070           M         79
        4070           P        443
        4070           W        309
        4071           B        162
        4071           C        132
        4071           D       4521
        4071           G         49
        4071           J         19
        4071           M         95
        4071           P        925
        4071           S        150
        4071           U         26
        4071           W       1527
        4072           C        245
        4072           D       2602
        4072           M         40
        4072           P        309
        4072           S         85
        4072           W        162
        4073           B         60
        4073           C         35
        4073           D       2131
        4073           G        128
        4073           J         43
        4073           P        445
        4073           S         16
        4073           W        149
        4074           B         23
        4074           C         42
        4074           D       4271
        4074           G         60
        4074           J         48
        4074           M        258
        4074           P        957
        4074           S        255
        4074           W        439
        4075           B        110
        4075           C         14
        4075           D       3872
        4075           G         30
        4075           J         36
        4075           M         40
        4075           O          8
        4075           P        696
        4075           S        116
        4075           W         96
        4076           B        167
        4076           C        277
        4076           D      11151
        4076           G        147
        4076           J        154
        4076           M        204
        4076           P       2310
        4076           S        353
        4076           W       1702
        4077           B         84
        4077           C         97
        4077           D       6891
        4077           G         71
        4077           J        127
        4077           M         86
        4077           O         14
        4077           P       1042
        4077           W         68
        4078           B        131
        4078           C         78
        4078           D      11797
        4078           G         75
        4078           J         40
        4078           M        123
        4078           P       1679
        4078           S        398
        4078           T         63
        4078           W       1222
        4079           B        213
        4079           C         31
        4079           D      13320
        4079           G        354
        4079           J        178
        4079           P       2920
        4079           S        652
        4079           U         25
        4079           W       1527
        4080           B        104
        4080           C        151
        4080           D      11192
        4080           G        214
        4080           J         32
        4080           P       2126
        4080           S        159
        4080           W        554
        4081           C         12
        4081           D       5574
        4081           M         18
        4081           P        680
        4081           T         15
        4081           W        110
        4082           B        169
        4082           C         50
        4082           D       6992
        4082           P       1084
        4082           W         70
        4083           B         56
        4083           C        146
        4083           D       8578
        4083           G        102
        4083           J        140
        4083           O         27
        4083           P       2011
        4083           S         92
        4083           T         71
        4083           W       1344
        4084           B        367
        4084           C        124
        4084           D      15942
        4084           G        225
        4084           J         58
        4084           O         36
        4084           P       3158
        4084           S        357
        4084           T        110
        4084           U         56
        4084           W       2160
        4085           B        190
        4085           C         36
        4085           D       5520
        4085           G         35
        4085           J         78
        4085           P       1151
        4085           S        324
        4085           W        749
        4086           B         25
        4086           C         25
        4086           D       2732
        4086           G         21
        4086           M         95
        4086           P        595
        4086           S         91
        4086           W         96
        4087           C         16
        4087           D       6069
        4087           G         15
        4087           J         25
        4087           P       1082
        4087           S         62
        4087           T         31
        4087           W        163
        4088           B        177
        4088           D       8186
        4088           G         91
        4088           M         40
        4088           P       1549
        4088           S        122
        4088           W         74
        4089           B        392
        4089           C         36
        4089           D      10798
        4089           G         77
        4089           J         35
        4089           P       1844
        4089           S        245
        4089           T         22
        4089           W        906
        4090           B         74
        4090           D       2394
        4090           G         35
        4090           P        521
        4090           S        221
        4090           W         31
        4091           B         20
        4091           C         38
        4091           D       2652
        4091           G         22
        4091           M         32
        4091           P        355
        4091           S        171
        4092           B         30
        4092           D       1164
        4092           P        204
        4093           B        232
        4093           D       1235
        4093           G         11
        4093           P        251
        4093           S         15
        4094           B          7
        4094           D        490
        4094           J          9
        4094           P         93
        4095           D        238
        4095           P         66
        4096           D        663
        4096           P         61
        4097           D        990
        4097           G         10
        4097           J          7
        4097           P        180
        4097           S         48
        4098           D        957
        4098           G         11
        4098           M         14
        4098           P        124
        4098           S         80
        4099           D        624
        4099           M         14
        4099           P        197
        4099           S          4
        4100           D        461
        4100           P         63
        4100           S         41
        4101           D        249
        4101           P         93
        4103           B        137
        4103           C         16
        4103           D       5358
        4103           G         56
        4103           J         95
        4103           P        910
        4103           S         68
        4103           T         26
        4103           W        904
        4104           D       1176
        4104           G         19
        4104           J         26
        4104           P        220
        4104           S        131
        4104           W         41
        4105           B        318
        4105           C        130
        4105           D      11061
        4105           G         49
        4105           J         43
        4105           O         30
        4105           P       2451
        4105           S        308
        4105           W       1045
        4106           D        306
        4107           D         36
        4108           B        147
        4108           C         86
        4108           D       6365
        4108           G         93
        4108           J          9
        4108           P       1452
        4108           S        200
        4108           W       1007
        4109           B        123
        4109           C         40
        4109           D        713
        4109           P        256
        4109           S        317
        4109           W        668
        4110           B        374
        4110           C        104
        4110           D      12316
        4110           G        189
        4110           J        145
        4110           O         28
        4110           P       2488
        4110           S        626
        4110           T         49
        4110           W       1985
        4111           D        104
        4112           B         20
        4112           D        121
        4112           S         20
        4113           D        256
        4113           P         45
        4114           D        213
        4114           G         26
        4114           W         26
        4115           D         39
        4115           P         76
        4116           D         40
        4117           B         64
        4117           C         72
        4117           D        701
        4117           P        307
        4117           S         84
        4117           W        425
        4118           B         39
        4118           D        707
        4118           P         41
        4118           S         58
        4118           U         71
        4119           B        254
        4119           C         61
        4119           D      10364
        4119           G        223
        4119           J        116
        4119           O         22
        4119           P       2062
        4119           S        495
        4119           U         19
        4119           W       1401
        4120           B        373
        4120           C        213
        4120           D       9296
        4120           G        172
        4120           J        144
        4120           M         17
        4120           P       1840
        4120           S        210
        4120           T         22
        4120           U         28
        4120           W       1236
        4121           D        212
        4121           P         30
        4121           S         24
        4122           D       2134
        4122           O         17
        4122           P        260
        4122           T         11
        4123           C         59
        4123           D       6441
        4123           G         17
        4123           P       1174
        4123           S        296
        4123           W        441
        4124           B        114
        4124           C         20
        4124           D      10104
        4124           G         42
        4124           J         56
        4124           O         22
        4124           P       1710
        4124           S        192
        4124           U          6
        4124           W        316
        4125           B        412
        4125           C         26
        4125           D      10337
        4125           G        114
        4125           J         73
        4125           P       1715
        4125           S       1042
        4125           U         48
        4125           W        617
        4126           B        111
        4126           C         17
        4126           D       4661
        4126           G         24
        4126           M         14
        4126           P        568
        4126           S        324
        4126           T         22
        4126           W        193
        4127           B        154
        4127           D       8175
        4127           G        180
        4127           J         86
        4127           O         17
        4127           P       1385
        4127           S        271
        4127           W        452
        4128           D         29
        4129           D        108
        4130           D        169
        4130           G         10
        4130           P         63
        4131           D        144
        4131           P         14
        4132           D        318
        4132           G         20
        4132           P         88
        4132           S         19
        4133           B         46
        4133           D        437
        4133           P         50
        4133           S         15
        4134           D        515
        4134           P         10
        4135           D        750
        4135           P         34
        4135           S        223
        4136           D        615
        4136           P         95
        4136           S         16
        4137           B         28
        4137           D       1474
        4137           P        279
        4137           S        127
        4138           D        330
        4138           P         58
        4138           S        160
        4139           D        680
        4139           G          9
        4139           J          9
        4139           P        254
        4139           S         89
        4140           D        668
        4140           P        132
        4140           S         98
        4141           D        109
        4142           D        144
        4142           P         74
        4143           D        538
        4143           G         29
        4143           P        273
        4143           S        152
        4144           D        572
        4144           P        116
        4144           S         29
        4145           D        574
        4145           P         20
        4147           B          5
        4147           D        623
        4147           P         56
        4148           B         25
        4148           C         16
        4148           D       4014
        4148           P        915
        4148           W         22
        4149           B         46
        4149           D        855
        4149           P        205
