Fri Sep 24 2021 06:05:25 GMT-0400 (Eastern Daylight Time) - Run Time: 2402ms

Cross Tabulation Query Form - Trip - 2016 v1.1

Row: 2006 GTA zone of origin - gta06_orig
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 6, 5, 11, 

Trip 2016
ROW : gta06_orig
COLUMN : mode_prime
  gta06_orig  mode_prime      total
         177           D         14
         179           D        357
         179           J         45
         180           D        194
         180           P         81
         181           D         72
         183           D         59
         184           D         28
         185           D         12
         186           D         35
         186           P         14
         186           S         17
         187           B         74
         187           D          8
         187           J         66
         187           S         36
         188           D         51
         189           B         16
         189           D         12
         189           J         19
         190           D         53
         190           P         53
         191           D         11
         192           P         13
         194           D         33
         194           P         33
         195           D         64
         195           P         29
         196           D         92
         197           D        188
         199           D         99
         200           J         14
         201           B          4
         201           D        124
         201           J         77
         201           P         13
         202           D         79
         202           J         26
         202           P         14
         203           B         28
         203           D         11
         203           J         79
         204           B         49
         204           D         67
         204           J        137
         204           P          9
         205           D         79
         205           J         18
         205           W         27
         207           D         42
         207           J         21
         207           P         13
         209           D         97
         209           G         30
         209           J          6
         210           D        183
         210           J         33
         211           B         30
         211           D        164
         211           J        214
         211           P         71
         212           D         18
         212           J         15
         214           D         14
         214           P         29
         216           D         32
         216           P         30
         218           B         90
         218           D        130
         218           J         26
         218           P         47
         219           D         13
         220           D         68
         221           D         73
         221           J         15
         222           D          9
         223           D         62
         224           J         13
         225           D         14
         226           D         12
         227           B         14
         227           D         79
         228           D         68
         228           J        107
         229           D         41
         230           D        145
         231           D        209
         231           P         21
         232           D         40
         236           D        100
         236           T          4
         238           D         20
         240           D         72
         240           P         82
         242           D         46
         243           D        152
         243           P         48
         245           P          6
         246           D         71
         247           D         95
         247           P         21
         249           D         40
         249           J         32
         250           G         29
         251           D         14
         251           P         14
         252           D         26
         252           P         15
         257           D          8
         260           D         27
         263           D         14
         264           D         31
         264           J         37
         265           D         11
         265           P         11
         266           D         99
         267           D         26
         268           D         44
         268           G         17
         268           P         14
         269           D         11
         269           J         20
         270           D         18
         271           D        133
         271           P         27
         272           T          7
         273           D         10
         276           D         50
         276           P         10
         278           D         69
         278           P         11
         279           D         22
         280           D          9
         282           D         63
         282           J         37
         282           P         11
         283           D         36
         285           D        207
         285           P         15
         286           D        115
         286           P         16
         287           D         45
         288           D        212
         288           G         37
         288           P         10
         289           D        100
         289           P         14
         290           D        392
         290           G         28
         290           J        131
         290           P         30
         291           D        135
         291           P         48
         292           B         34
         292           D        780
         292           M         13
         292           P         33
         293           D         83
         294           D        121
         294           P         22
         294           W         44
         295           D         26
         296           D        306
         298           D        173
         298           P          9
         299           D        476
         299           P         14
         300           D        287
         300           P         81
         301           D        211
         301           G         16
         301           J         41
         301           P         26
         302           D         36
         304           D         27
         305           D        140
         305           P          9
         306           D         47
         306           P         19
         306           W         37
         307           D        356
         308           D        352
         309           B         13
         309           D       1273
         309           P         85
         310           D        312
         311           D         45
         311           P         30
         312           B         83
         312           D        279
         312           G          8
         313           B         57
         313           D        453
         313           J         15
         313           P         47
         314           D         28
         315           D         17
         316           D         51
         316           P         42
         319           D         28
         319           P        108
         320           D         12
         321           D         30
         322           D         89
         323           B         34
         323           D        120
         323           G         21
         324           D         13
         325           D         71
         326           D         87
         327           D        168
         327           P         18
         328           D         82
         328           P         41
         329           D         18
         330           D         13
         331           D        168
         331           J         11
         332           D        189
         333           D         33
         334           D         33
         335           D        173
         336           D         18
         337           D         11
         338           D         11
         340           D         18
         342           D         96
         343           D         69
         343           P         48
         344           D         11
         345           D         76
         346           D         18
         348           D         28
         349           P         23
         350           D        188
         350           W         44
         351           D         18
         352           D         26
         352           P         11
         354           D        131
         354           P          7
         355           D        287
         356           B         32
         356           D        277
         356           P         32
         357           D        914
         357           J         30
         357           P         80
         357           T         20
         358           D        547
         358           P         21
         358           T         51
         359           D        123
         360           D        168
         360           P         69
         361           D          3
         362           D        124
         363           G         10
         365           D         12
         365           P         12
         366           D         17
         367           D        108
         367           P         66
         368           D         89
         369           D         26
         370           D         30
         371           B        238
         371           D        581
         371           J         13
         371           P         90
         371           W         39
         372           D        156
         374           D         28
         375           S         27
         376           D         49
         378           D        286
         378           P         80
         379           D        166
         379           P         44
         381           D         20
         381           P          7
         382           D         32
         383           D         91
         384           P          9
         385           D         18
         386           D         35
         387           D        415
         388           D        294
         389           B         20
         389           D        198
         389           P         50
         391           B        683
         391           D        816
         391           J         82
         391           P         14
         392           D         82
         393           D        256
         393           P          6
         394           D        228
         394           P         27
         395           D         34
         397           B          7
         397           D         26
         397           P         26
         401           D         86
         402           D        210
         405           D         30
         407           D         24
         408           D         72
         410           D         14
         412           D         15
         413           D         13
         414           D         16
         415           D        127
         416           D         84
         417           D          4
         419           D         18
         420           D         37
         421           D        194
         422           D         43
         423           D          9
         425           D         20
         426           D         27
         427           D         18
         430           B         11
         430           D         93
         431           D         40
         436           D         38
         440           D         21
         441           D         78
         442           B        104
         442           D        132
         442           J        152
         442           P         16
         443           B         17
         443           D        257
         443           J         28
         443           P        167
         444           B         83
         444           D        282
         449           D         19
         449           P         12
         450           D         25
         452           D         46
         452           J         55
         454           B          8
         454           D         64
         454           J          4
         455           D         19
         459           D         36
         460           D         38
         463           B         46
         463           D         29
         463           P          9
         464           D         30
         464           P         30
         465           D        151
         465           P          8
         467           D         22
         468           D         22
         469           D        164
         473           D        208
         476           B         35
         478           D         33
         479           D         19
         481           D         88
         483           D         21
         484           B         17
         484           D        225
         484           W        121
         486           D         78
         487           D         58
         490           D         50
         490           P         32
         491           D        120
         492           D         87
         492           P         29
         493           D         45
         494           D         13
         497           D         16
         499           D         16
         500           D         15
         501           D         66
         503           D         23
         506           D         14
         509           D         30
         510           D         17
         511           D         26
         523           D         20
         523           P         10
         524           D         34
         525           D         76
         526           D         39
         528           J          5
         529           D         54
         530           D         43
         530           J         25
         533           D         57
         535           D         15
         536           D         26
         537           D          7
         538           D         44
         539           D         16
         539           P         34
         540           D         17
         541           D         26
         543           D         34
         543           P         34
         544           D         30
         546           D         23
         547           D         16
         549           D         36
         552           D         75
         556           D         36
         561           D         66
         561           P         31
         566           D         33
         566           J         16
         571           D         12
         578           D         15
         579           D         34
         580           D        145
         585           D         29
         585           W         46
         588           D         37
         589           D        120
         590           D         24
         591           D         45
         591           P         27
         591           W         30
         592           D         46
         597           D         35
         603           D         12
         606           D         13
         608           D         72
         609           D         78
         610           D          4
         611           D         22
         611           P         10
         616           D         39
         623           D         94
         625           D         29
        1031           D         40
        1031           P         20
        1035           S        110
        1039           D         40
        1043           D         74
        1049           D         16
        1052           D         19
        1053           D         15
        1055           D         51
        1056           D         78
        1057           D         15
        1059           D         18
        1061           D         15
        1070           D         47
        1072           D         30
        1082           D         47
        1088           D         44
        1089           P         17
