Fri Sep 24 2021 06:21:48 GMT-0400 (Eastern Daylight Time) - Run Time: 603ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of P/T workers in household - n_emp_pt


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_emp_pt
  gta06_hhld    n_emp_pt      total
        6330           2         26
        6331           0        113
        6331           1         23
        6331           3         22
        6332           0        211
        6332           1         65
        6333           0        146
        6333           1         68
        6333           3          5
        6334           0        263
        6335           0        144
        6335           1         37
        6336           0        997
        6336           1        149
        6336           2         49
        6337           0        831
        6337           1        271
        6337           2         55
        6338           0        886
        6338           1        190
        6339           0        207
        6339           1         58
        6339           2         27
        6340           0        779
        6340           1        174
        6340           2         26
        6341           0       1058
        6341           1        353
        6341           3         12
        6342           0        999
        6342           1        240
        6342           2         32
        6343           0        992
        6343           1         98
        6344           0        900
        6344           1        231
        6344           2         13
        6345           0       1050
        6345           1        146
        6346           0         50
        6346           1        109
        6347           0        382
        6347           1        117
        6347           2         46
        6348           0        291
        6348           1        119
        6349           0        325
        6349           1          8
        6350           0        577
        6350           1        163
        6351           0        222
        6351           1         24
        6352           0         50
        6353           0        186
        6353           1        149
        6353           2         19
        6354           0        237
        6354           1         62
        6354           2         49
        6355           0        179
        6355           1         38
        6355           2         25
        6356           0         53
        6356           1         19
        6357           0        256
        6357           1         37
        6357           2         27
        6358           0        108
        6358           2         30
        6359           0        467
        6359           1        282
        6359           2         49
        6360           0       2109
        6360           1        161
        6360           2        126
        6361           0        266
        6361           1        111
        6361           2         41
        6362           0        570
        6362           1         97
        6362           2         13
        6363           0        608
        6363           1        119
        6364           0        447
        6364           1        111
        6364           2         30
        6366           0       1684
        6366           1        250
        6366           2         70
