Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        5233           2        198
        5233           3        146
        5233           4        208
        5233           5         41
        5234           1         20
        5234           2         42
        5234           3         19
        5234           4         82
        5234           5         41
        5235           1         11
        5235           3         33
        5235           4         19
        5235           5         90
        5235           9         29
        5236           1         64
        5236           2        120
        5236           4        191
        5236           5        110
        5237           1        611
        5237           2        474
        5237           3         66
        5237           4        109
        5237           5        123
        5238           1        169
        5238           2        391
        5238           3        133
        5238           4        396
        5238           5        140
        5239           1        386
        5239           2        657
        5239           3        356
        5239           4        160
        5239           5        158
        5240           1        154
        5240           2        204
        5240           3         68
        5240           4         31
        5241           1        564
        5241           2       1091
        5241           3        533
        5241           4        592
        5241           5        243
        5241           6        139
        5242           1         36
        5242           3         15
        5242           4         69
        5242           5         63
        5242           6        134
        5243           2         39
        5243           3         38
        5244           1        223
        5244           2        264
        5244           3        140
        5244           4        278
        5244           6         89
        5245           2        167
        5245           3         58
        5245           4        132
        5246           1         58
        5246           2        244
        5246           3         46
        5246           4        180
        5246           5        143
        5247           1        113
        5247           2        187
        5247           3        173
        5247           4         58
        5248           1        143
        5248           2        340
        5248           3        322
        5248           4        149
        5248           5         51
        5248           6         13
        5248           8         25
        5249           1         22
        5249           2        135
        5249           3         26
        5249           4         12
        5250           1         19
        5250           2         18
        5250           3         81
        5250           4        138
        5251           2         32
        5252           1        307
        5252           2        134
        5252           3         78
        5252           4        121
        6001           1         64
        6001           2        157
        6001           3         16
        6001           4         62
        6004           1        367
        6004           2        541
        6004           3        412
        6004           4        345
        6004           5         98
        6004           6         21
        6004           7         31
        6005           1         19
        6005           2        220
        6005           3        115
        6005           4         96
        6005           7         23
        6006           2        221
        6006           3         73
        6006           5         38
        6006           7         25
        6007           1        153
        6007           2        117
        6007           3         24
        6007           4        153
        6007           5         53
        6007           6         12
        6007           7         33
        6008           1        251
        6008           2        202
        6008           3         69
        6008           5         22
        6009           1         29
        6009           2         78
        6010           1         63
        6010           2         59
        6010           3         21
        6012           1         90
        6012           2        440
        6012           3        229
        6012           4        152
        6012           5         89
        6012           6         27
        6014           1        270
        6014           2        104
        6014           4         30
        6015           1        131
        6015           2        398
        6015           3        226
        6015           4        260
        6015           5         61
        6016           1        117
        6016           2        316
        6016           3        155
        6016           4        275
        6016           5        110
        6016           6         32
        6017           1        161
        6017           2         98
        6017           3         15
        6017           8         35
        6018           1        101
        6018           2        227
        6018           3        168
        6018           4        231
        6018           5         35
        6018           6         33
        6018           9         34
        6019           1        128
        6019           2        364
        6019           3         84
        6019           4        177
        6019           5         37
        6020           1        241
        6020           2        300
        6020           3         78
        6020           4         49
        6020           5         15
        6021           2         10
        6022           1         29
        6022           2        117
        6022           3         46
        6022           4         81
        6022           5         15
        6023           1        334
        6023           2        639
        6023           3        605
        6023           4        556
        6023           5        220
        6023           6         35
        6024           2         49
        6024           3         10
        6024           4         12
        6024           5         36
        6025           1         63
        6025           2        146
        6025           3         24
        6025           5         83
        6026           1        419
        6026           2        785
        6026           3         61
        6026           4        107
        6026           5         38
        6026           6         24
        6027           1        231
        6027           2        270
        6027           3        203
        6027           4        114
        6027           5         81
        6027           6         21
        6027           8         45
        6028           1         25
        6028           2        101
        6028           3         30
        6029           1         92
        6029           2        272
        6029           3         69
        6029           4        129
        6029           6         21
        6029           8         23
        6030           1         72
        6030           2         63
        6030           3         80
        6030           4         20
        6030           7         29
        6031           1         47
        6031           2         14
        6031           3         12
        6031           4         91
        6031           7         23
        6032           1        470
        6032           2        880
        6032           3        243
        6032           4        307
        6032           5         55
        6032           6        117
        6033           1        101
        6033           2         68
        6033           4         31
        6034           1        162
        6034           2        223
        6034           3         80
        6034           4         59
        6034           6         30
        6035           1         29
        6035           2        137
        6035           3         87
        6035           4        101
        6036           1         15
        6036           2        125
        6036           3         91
        6036           4         21
        6037           2         32
        6038           1         97
        6038           2        301
        6038           3         50
        6038           4        120
        6038           5         43
        6038           8         26
        6039           1        284
        6039           2        666
        6039           3        321
        6039           4        300
        6039           5        141
        6040           1         24
        6040           2         91
        6040           3         77
        6040           4         44
        6040           5         58
        6041           1         57
        6041           2        167
        6041           3         35
        6041           4         28
        6041           5         75
        6042           1         99
        6042           2        192
        6042           3         23
        6042           5         77
        6043           1         45
        6043           2         86
        6043           3         58
        6043           4         30
        6044           1        749
        6044           2       1489
        6044           3        202
        6044           4        156
        6045           2         94
        6045           3        147
        6045           6         38
        6046           1         59
        6046           2         74
        6046           3        121
        6046           4         35
        6047           1        206
        6047           2        724
        6047           3         77
        6047           4         88
        6047           5        184
        6047           6         24
        6048           1        148
        6048           2         50
        6048           3        148
        6048           4        127
        6048           5         51
        6049           2         26
        6050           1         78
        6050           2        439
        6050           3         78
        6050           4        109
        6050           5         24
        6051           1         77
        6051           2        123
        6051           3         24
        6051           4         69
        6052           1         80
        6052           2         89
        6052           4        187
        6052           5         46
        6052           6         37
        6053           1         60
        6053           2         68
        6053           3         18
        6053           4         77
        6053           5         81
        6053           6         31
        6054           1         76
        6054           2        169
        6054           3         88
        6054           4         90
        6054           5         54
        6055           1        118
        6055           2        225
        6055           3        108
        6055           4        116
        6056           1        297
        6056           2        396
        6056           3        108
        6056           5         62
        6057           1        227
        6057           2        168
        6057           3        159
        6057           4        109
        6058           1        144
        6058           2        291
        6058           3         20
        6058           4         81
        6059           1        152
        6059           2        271
        6059           3        137
        6059           4         95
        6060           1        119
        6060           2        153
        6060           4         53
        6061           1        117
        6061           2        306
        6061           3        229
        6061           4         78
        6061           5         41
        6062           1        171
        6062           2        426
        6062           3         67
        6062           4        183
        6062           5        158
        6063           1        118
        6063           2        217
        6063           4        193
        6064           1        343
        6064           2        745
        6064           3        259
        6064           4        257
        6064           5        109
        6065           1         32
        6065           2         53
        6065           3         75
        6065           4         67
        6065           5         34
        6065           6         19
        6066           1        350
        6066           2        301
        6066           3         62
        6066           4        102
        6066           5         59
        6067           1        178
        6067           2        221
        6067           3        163
        6067           4         85
        6067           5         12
        6067           8         31
        6068           1        311
        6068           2        408
        6068           3        112
        6068           4         17
        6068           5         25
        6069           1         73
        6069           2        200
        6069           3         87
        6069           4         59
        6070           2         33
        6071           1        514
        6071           2        834
        6071           3        287
        6071           4        255
        6071           5         44
        6071           6         50
        6072           1        261
        6072           2        108
        6072           3        126
        6072           5         36
        6073           1         44
        6073           2          9
        6073           5         31
        6074           1        799
        6074           2        618
        6074           3        152
        6074           4        224
        6074           5         44
        6074           7         37
        6075           1        425
        6075           2        435
        6075           3        219
        6075           4        230
        6075           5         54
        6075           6         16
        6075           7         25
        6076           1         51
        6076           2          6
        6079           1        468
        6079           2        356
        6079           3        156
        6079           4        202
        6079           5         16
        6079           6         94
        6080           2         14
        6080           3         65
        6081           1        442
        6081           2        379
        6081           3        308
        6081           4         26
        6081           5         69
        6082           1        191
        6082           2        304
        6082           3        132
        6082           4         12
        6082           6         32
        6083           1        909
        6083           2        344
        6083           3         32
        6083           4         43
        6085           1         51
        6085           2        124
        6090           1        371
        6090           2        380
        6090           3        226
        6090           4        165
        6090           5        128
        6090           6         42
        6091           1        199
        6091           2        209
        6091           3        110
        6091           4         59
        6092           1        130
        6092           2        253
        6092           3        216
        6092           4         56
        6092           5        134
        6092           7         25
        6094           1        187
        6094           2        169
        6094           3         17
        6094           4         47
        6095           2         14
        6095           4         42
        6097           1        157
        6097           2        229
        6097           3        257
        6097           4        131
        6097           5        107
        6097           6          3
        6098           1        182
        6098           2        460
        6098           3        166
        6098           4        218
        6098           5         12
        6098           6         28
        6098           7          8
        6100           1        466
        6100           2        424
        6100           3        129
        6100           4        207
        6101           1        843
        6101           2        571
        6101           3        108
        6101           4        160
        6101           5         60
        6102           1        218
        6102           2        138
        6102           3        156
        6102           4         77
        6103           1         10
        6103           2         15
        6104           1         84
        6104           2        122
        6104           3         32
        6104           4         25
        6105           1        163
        6105           2        258
        6105           3        112
        6105           5         46
        6105           6         59
        6106           1        122
        6106           2        280
        6106           3         70
        6106           4        118
        6106           5         21
        6107           1        584
        6107           2        580
        6107           3        274
        6107           4         89
        6107           5         53
        6109           1        475
        6109           2        362
        6109           3        309
        6109           4        177
        6109           5         98
        6112           1         97
        6112           2        198
        6112           3         59
        6112           4        151
        6112           5         19
        6113           1        291
        6113           2        340
        6113           3        143
        6113           6        118
        6115           1         93
        6115           2         28
        6115           3         54
        6115           4         64
        6116           1         15
        6116           2         53
        6117           1        219
        6117           2        161
        6117           3         86
        6117           4         90
        6118           1        461
        6118           2        528
        6118           3         60
        6118           4         42
        6119           1         33
        6119           2         88
        6119           3         26
        6120           1         16
        6120           2         92
        6120           3          7
        6120           4         39
        6121           1        432
        6121           2        195
        6121           3         20
        6122           2         10
        6123           1        128
        6123           2         68
        6124           1        137
        6125           1         96
        6127           1          6
        6129           1        145
        6129           2         80
        6129           3         22
        6130           1        100
        6130           3        184
        6131           1         49
        6132           1        303
        6132           2        111
        6132           4         48
        6133           1        188
        6133           2        297
        6133           3         47
        6133           4         25
        6134           1        190
        6134           2        191
        6135           1         92
        6135           2         80
        6135           3         14
        6135           4         48
        6135           5         19
        6137           1         78
        6137           2        395
        6137           3        101
        6137           4        344
        6137           6         76
        6138           1         28
        6139           1         55
        6139           2         99
        6139           3         72
        6139           4         17
        6139           5         21
        6140           1        240
        6140           2        136
        6140           3        236
        6140           4         17
        6140           5         44
        6141           1         80
        6141           2        176
        6141           3         98
        6141           4        125
        6141           5         51
        6141           6         32
        6141           8         35
        6142           1        376
        6142           2        264
        6142           3        150
        6142           6        106
        6143           1         36
        6143           2         27
        6143           3         64
        6144           1         52
        6144           2        147
        6144           3         18
        6145           1         35
        6145           2         13
        6146           1        851
        6146           2        799
        6146           3        641
        6146           4        469
        6146           5         88
        6146           6        113
        6147           2         34
        6150           1        206
        6150           2        418
        6150           3         57
        6150           4         15
        6150           6         40
        6151           1         57
        6153           1         38
        6153           2         98
        6153           5         78
        6154           1        283
        6154           2        329
        6154           3        165
        6154           4        147
        6154           5         54
        6154           6         34
        6154           7         38
        6155           1         31
        6155           2         94
        6155           4         15
        6156           1         20
        6156           2          9
        6158           1        217
        6158           2        113
        6158           3         38
        6158           4         38
        6158           7         31
        6159           1         44
        6159           2        214
        6159           3         97
        6159           4         71
        6159           5         43
        6160           1        481
        6160           2        301
        6160           3         27
        6161           1         60
        6161           2        103
        6161           3        106
        6161           4         40
        6162           1        117
        6162           2        125
        6162           3         70
        6162           4         93
        6163           2         47
        6164           1        131
        6164           2        202
        6164           3        134
        6164           4         96
        6164           5         75
        6165           1         96
        6165           2        129
        6165           3         13
        6166           1        146
        6166           2        347
        6166           3         72
        6166           4        303
        6166           6         51
        6167           2         29
        6167           3          4
        6167           4         18
        6168           1         94
        6168           2        207
        6168           3        128
        6168           4        164
        6168           5        101
        6168           6         98
        6168           7         26
        6169           4         68
        6170           1        141
        6170           2        328
        6170           3        413
        6170           4        470
        6170           5        157
        6170           6        101
        6171           1         34
        6171           2        289
        6171           3        142
        6171           4        196
        6171           5         48
        6172           1        244
        6172           2        155
        6172           3         17
        6172           4         63
        6173           1        123
        6173           2        348
        6173           3         74
        6173           4         63
        6173           5         36
        6173           6         24
        6174           1        325
        6174           2        165
        6174           3         74
        6175           1        265
        6175           2        124
        6175           3         76
        6176           1        352
        6176           2        147
        6176           3         21
        6176           5         38
        6177           1        105
        6177           2         89
        6177           3          9
        6177           4         13
        6177           5         24
        6178           2          4
        6179           1         12
        6179           2         93
        6179           3         65
        6179           5         19
        6180           2         69
        6180           4         65
        6181           1         24
        6181           2         47
        6181           4         13
        6182           1        127
        6182           2        356
        6182           3        141
        6182           4        159
        6182           6         20
        6183           1         65
        6183           2         36
        6183           3         17
        6183           4         82
        6183           5         28
        6184           1         25
        6184           2         10
        6185           1         19
        6185           2         28
        6186           1         57
        6186           2         31
        6186           3         28
        6186           5         22
        6187           1          4
        6187           2         69
        6187           4         25
        6187           5         70
        6188           1         84
        6188           2        127
        6188           3        135
        6189           1          4
        6189           2         40
        6189           4          9
        6189           5          8
        6190           1          4
        6191           5         92
        6192           2         26
        6192           3          6
        6193           1        485
        6193           2        485
        6193           3        105
        6193           4        329
        6193           5         83
        6194           1        243
        6194           2        559
        6194           3         91
        6194           4        115
        6194           5         30
        6194           6         34
        6195           1         27
        6195           2        111
        6195           3          4
        6195           4         30
        6196           1        152
        6196           2        370
        6196           3        348
        6196           4        140
        6196           5        115
        6196           6         55
        6197           1         38
        6197           2         15
        6198           1        442
        6198           2        478
        6198           3        320
        6198           4        268
        6198           5        177
        6198           6         50
        6199           1        961
        6199           2        909
        6199           3        436
        6199           4        235
        6199           5         63
        6200           1         14
        6201           1        129
        6201           2         69
        6201           3         10
        6201           4         87
        6201           5        101
        6202           1        145
        6202           2         54
        6203           1        173
        6203           2        186
        6203           3         35
        6204           1        654
        6204           2        106
        6204           3        142
        6205           1        213
        6205           2        196
        6205           4         64
        6206           1        107
        6206           2        331
        6206           3         59
        6206           4          5
        6206           5         20
        6206           6         58
        6207           1        146
        6207           2        211
        6207           3        160
        6207           5         45
        6208           1         18
        6208           2         77
        6209           1         18
        6209           2         19
        6210           2         15
        6210           3         26
        6213           1        447
        6213           2        189
        6213           3        183
        6213           4         66
        6213           5         32
        6214           1         44
        6215           2          9
        6215           3         11
        6215           5         47
        6216           1        193
        6216           2         75
        6216           3         76
        6216           4         87
        6217           1        757
        6217           2        525
        6217           3        137
        6217           4         67
        6218           1        233
        6218           2        352
        6218           3        208
        6218           4        227
        6219           1        538
        6219           2        650
        6219           3        375
        6219           4        223
        6219           5        121
        6219           6         27
        6222           1        261
        6222           2        733
        6222           3        269
        6222           4        398
        6222           5         82
        6222           6         34
        6223           1        122
        6223           2        185
        6223           3        246
        6223           4        142
        6223           5        191
        6224           2         47
        6224           3         10
        6225           1        233
        6225           2        452
        6225           3        240
        6225           4        491
        6225           5        108
        6225           6         14
        6226           1        525
        6226           2        598
        6226           3        490
        6226           4        501
        6226           5        143
        6227           1         25
        6227           5         57
        6228           1         68
        6228           2        381
        6228           3         73
        6228           5         73
        6228           6         35
        6229           2         74
        6229           3         16
        6230           1        228
        6230           2        285
        6230           3         93
        6230           4        173
        6230           5         27
        6231           1         57
        6231           2         67
        6231           3         33
        6232           1         16
        6232           2         13
        6233           1        534
        6233           2        505
        6233           3        195
        6233           4        212
        6233           5         49
        6235           1        675
        6235           2       1075
        6235           3        572
        6235           4        284
        6235           5        166
        6235           6        107
        6236           1        414
        6236           2        619
        6236           3        171
        6236           4        118
        6236           5        109
        6236           6         24
        6240           3         25
        6244           1         36
        6244           2         66
        6244           3        117
        6244           4        121
        6247           3         13
        6248           1         26
        6248           2        178
        6248           3         69
        6248           4        107
        6249           1        219
        6249           2        280
        6249           3         29
        6249           4         80
        6249           5         98
        6249           7         74
        6250           2         40
        6250           3         11
        6250           5         65
        6252           1        293
        6252           2        480
        6252           3        149
        6252           4        133
        6253           1        156
        6253           2         97
        6253           3         30
        6253           4         43
        6254           1         10
        6254           2         36
        6254           3         29
        6255           1         10
        6255           2         28
        6255           5         56
        6256           1         12
        6256           2        147
        6256           3        188
        6256           4         61
        6257           1        127
        6257           2        338
        6257           3        268
        6257           4        140
        6257           5        128
        6259           1         44
        6259           2        240
        6259           3         94
        6259           4         31
        6259           5         63
        6260           1        268
        6260           2        190
        6260           3         44
        6260           4         76
        6260           6         21
        6261           1         27
        6261           2         32
        6262           1        103
        6262           2        139
        6262           4         19
        6263           1         31
        6263           2        290
        6263           3        144
        6265           1         33
        6265           2         29
        6265           3         77
        6265           4         43
        6266           1        228
        6266           2        299
        6266           3         77
        6266           4         82
        6267           1        126
        6267           2        388
        6267           3        190
        6267           4        137
        6267           5         55
        6267           6         21
        6267           8         40
        6268           1        182
        6268           2        504
        6268           3        200
        6268           4        406
        6268           5         69
        6269           1        420
        6269           2        534
        6269           3        195
        6269           4        223
        6269           5        183
        6269           6         24
        6269           7         25
        6270           1        442
        6270           2        190
        6270           3         89
        6270           4         69
        6270           5         19
        6270           7         26
        6271           1        338
        6271           2        333
        6271           3        108
        6271           4         98
        6272           1        126
        6272           2         28
        6272           3          4
        6272           4         34
        6273           1        211
        6273           2        100
        6273           3         10
        6273           5         21
        6275           1        539
        6275           2        539
        6275           3        123
        6275           4        310
        6276           1        218
        6276           2        103
        6276           3         16
        6278           1         12
        6278           2         86
        6279           2        104
        6279           3         36
        6280           1         63
        6280           2         46
        6281           2         21
        6282           1        189
        6282           2         21
        6283           1         85
        6283           2         72
        6284           1        110
        6284           2        171
        6285           1        428
        6285           2        353
        6285           3         80
        6285           4         51
        6286           1        429
        6286           2        479
        6286           3         94
        6286           4         43
        6288           1        193
        6288           2        277
        6288           3         75
        6288           4         93
        6288           5         12
        6289           1        369
        6289           2        369
        6289           3         60
        6289           4        209
        6289           5         39
        6290           1        183
        6290           2        550
        6290           3        260
        6290           4        184
        6290           5         20
        6290           6         39
        6291           1         23
        6291           2         18
        6291           3         45
        6292           1        106
        6292           2        110
        6292           3        165
        6292           5         74
        6292           6         67
        6294           1         56
        6294           2         24
        6294           3         21
        6296           1        295
        6296           2        137
        6296           3         79
        6296           4         85
        6296           5         44
        6296           6         95
        6297           1        132
        6297           2        140
        6297           3         33
        6297           5         97
        6299           1        144
        6299           2        280
        6299           3        208
        6299           4         30
        6299           5         42
        6300           1        199
        6300           2         97
        6300           3        137
        6300           5         53
        6301           1        205
        6301           2        240
        6301           3        215
        6301           4         33
        6302           2         52
        6302           3         19
        6302           4         87
        6303           1         17
        6303           2        163
        6303           3         70
        6303           4        149
        6304           2          6
        6306           1          7
        6306           2          9
        6306           5          5
        6307           1        111
        6307           2        193
        6307           3         94
        6307           4         66
        6307           6         56
        6308           1        343
        6308           2        507
        6308           3        343
        6308           4         68
        6308           6        195
        6309           1        334
        6309           2        269
        6309           3         47
        6309           4        137
        6310           1        198
        6310           2        204
        6310           4         32
        6311           1         11
        6311           2         71
        6312           1        229
        6312           2        149
        6313           1         24
        6313           2         14
        6314           2         24
        6314           3         15
        6315           1        137
        6315           2        157
        6315           3         23
        6316           1        171
        6316           2        120
        6316           3         93
        6316           4         19
        6317           1         11
        6317           2         44
        6317           3         36
        6317           4         82
        6318           2         15
        6319           3         21
        6320           1        125
        6320           2        252
        6320           3        130
        6320           4        194
        6322           1         64
        6322           2        109
        6322           3         16
        6323           1         11
        6323           2         13
        6324           2        108
        6325           1        413
        6325           2        245
        6325           3        130
        6325           4         26
        6325           5         76
        6325           6         46
        6326           1        200
        6326           2        320
        6326           3        150
        6326           4         39
        6326           5         10
        6327           1         24
        6328           1         17
        6329           2         14
        6329           4          7
        6330           1         16
        6330           2         57
        6330           3        121
        6330           5         26
        6331           1         55
        6331           2         75
        6331           3          7
        6331           6         22
        6332           1         42
        6332           2        140
        6332           3         14
        6332           4         74
        6332           5          6
        6333           1         51
        6333           2         89
        6333           3         45
        6333           4         35
        6334           1         17
        6334           2        113
        6334           3          4
        6334           4        121
        6334           5          7
        6335           1         47
        6335           2         73
        6335           3         49
        6335           7         12
        6336           1        420
        6336           2        562
        6336           3         52
        6336           4         95
        6336           5         29
        6336           6         38
        6337           1        375
        6337           2        383
        6337           3        224
        6337           4        119
        6337           5         55
        6338           1        237
        6338           2        509
        6338           3         91
        6338           4        191
        6338           5         49
        6339           1         95
        6339           2         63
        6339           3         83
        6339           4         51
        6340           1        198
        6340           2        361
        6340           3        142
        6340           4        162
        6340           5         58
        6340           8         31
        6340           9         27
        6341           1        308
        6341           2        610
        6341           3        298
        6341           4         36
        6341           5        100
        6341           6         71
        6342           1        188
        6342           2        560
        6342           3        336
        6342           4        126
        6342           5         61
        6343           1        511
        6343           2        404
        6343           3         78
        6343           4         97
        6344           1        419
        6344           2        367
        6344           3         63
        6344           4        207
        6344           6         88
        6345           1        422
        6345           2        424
        6345           3        249
        6345           4         82
        6345           5         19
        6346           1         76
        6346           2         11
        6346           3          5
        6346           4         67
        6347           1        113
        6347           2        280
        6347           3         72
        6347           4         79
        6348           1         41
        6348           2        254
        6348           3         21
        6348           6         95
        6349           1        104
        6349           2        215
        6349           3         13
        6350           1        115
        6350           2        319
        6350           3         77
        6350           4        148
        6350           5         56
        6350           6         26
        6351           1         47
        6351           2        174
        6351           4         24
        6352           1         34
        6352           2         16
        6353           1         50
        6353           2         84
        6353           3         40
        6353           4         85
        6353           5         61
        6353           6         35
        6354           1         14
        6354           2        178
        6354           4         50
        6354           5         35
        6354           6         11
        6354           7         49
        6354           8         12
        6355           2        139
        6355           3         66
        6355           5         13
        6355           8         25
        6356           2         21
        6356           4         39
        6356           5         11
        6357           1         19
        6357           2        147
        6357           3         61
        6357           4         92
        6358           1         15
        6358           2         33
        6358           4         73
        6358           6         16
        6359           1         94
        6359           2        218
        6359           3        305
        6359           4         89
        6359           5         42
        6359           6         14
        6359           7         13
        6359           8         23
        6360           1        451
        6360           2        764
        6360           3        375
        6360           4        465
        6360           5        301
        6360           6         28
        6360           7         14
        6361           1         57
        6361           2        181
        6361           3         41
        6361           4        125
        6361           5         15
        6362           1        108
        6362           2        425
        6362           3         99
        6362           4         49
        6363           1        158
        6363           2        213
        6363           3        152
        6363           4         75
        6363           5        129
        6364           1        114
        6364           2        195
        6364           3         64
        6364           4        110
        6364           5        105
        6366           1        499
        6366           2        828
        6366           3        185
        6366           4        273
        6366           5        220
