Fri Sep 24 2021 06:21:03 GMT-0400 (Eastern Daylight Time) - Run Time: 659ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: No. of persons in household - n_person


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : n_person
  gta06_hhld    n_person      total
        4086           3        131
        4086           4         72
        4087           1        214
        4087           2        333
        4087           3        278
        4087           4         77
        4087           5        132
        4088           1        228
        4088           2        636
        4088           3        251
        4088           4        309
        4088           5         86
        4088           7         51
        4088           9         20
        4089           1        818
        4089           2       1254
        4089           3        822
        4089           4        988
        4089           5        123
        4089           6         26
        4089           7         71
        4090           1         78
        4090           2        325
        4090           3         33
        4090           4        150
        4090           5        136
        4090           6         21
        4091           1         10
        4091           2         97
        4091           3         68
        4091           4        176
        4091           5         21
        4092           1         59
        4092           2        140
        4092           3         48
        4092           4         48
        4092           5         63
        4092           7         21
        4093           1         11
        4093           2        108
        4093           3         32
        4093           4         28
        4094           2          9
        4094           3         42
        4096           1         34
        4096           2         66
        4096           3         17
        4097           1         65
        4097           2        212
        4097           3         35
        4097           4         22
        4097           5         63
        4098           1         53
        4098           2         68
        4098           3        135
        4098           4         52
        4098           5         40
        4099           1         19
        4099           2         85
        4099           3          4
        4099           4         79
        4100           1         37
        4100           5         20
        4100           6         49
        4103           1        302
        4103           2        415
        4103           3        468
        4103           4        603
        4103           5        395
        4103           6         97
        4104           1         53
        4104           2         66
        4104           3         16
        4104           5         52
        4104           6         27
        4105           1        385
        4105           2        970
        4105           3        838
        4105           4        995
        4105           5        412
        4105           6        256
        4105           7         26
        4105           8         40
        4106           2          9
        4108           1        140
        4108           2        480
        4108           3        387
        4108           4        605
        4108           5        336
        4108           6         67
        4108           7         70
        4110           1        348
        4110           2        851
        4110           3        889
        4110           4       1563
        4110           5        720
        4110           6        199
        4110           7         93
        4110           8         21
        4111           1         29
        4111           3         10
        4112           4         20
        4113           2         10
        4113           4         36
        4114           2         11
        4114           3         43
        4118           1         50
        4118           2        167
        4118           3         65
        4118           4         63
        4118           5         38
        4118           8         35
        4119           1        553
        4119           2        788
        4119           3        629
        4119           4        740
        4119           5        295
        4119           6        195
        4120           1        384
        4120           2        754
        4120           3        702
        4120           4       1219
        4120           5        533
        4120           6        143
        4120           8         63
        4120           9         27
        4121           1         15
        4121           2         41
        4121           3         21
        4121           4         24
        4122           2         19
        4123           1        541
        4123           2        468
        4123           3        392
        4123           4        360
        4123           5        119
        4123           6         35
        4124           1        275
        4124           2        635
        4124           3        435
        4124           4        295
        4124           5         28
        4124           8         17
        4125           1        544
        4125           2        551
        4125           3        378
        4125           4        446
        4125           5         80
        4125           6         53
        4125           7         71
        4126           1        353
        4126           2        725
        4126           3         39
        4126           4        152
        4126           5         93
        4127           1        145
        4127           2        712
        4127           3        668
        4127           4       1143
        4127           5        555
        4127           6        217
        4127           7         55
        4128           2          8
        4129           7         27
        4130           2         27
        4131           2         43
        4132           2         72
        4132           3         48
        4132           6          9
        4133           1         40
        4133           2         49
        4133           3         23
        4134           2         89
        4134           4         61
        4134           5         31
        4135           2        141
        4135           3         92
        4135           4          9
        4135           5         66
        4135           6         24
        4136           1         84
        4136           2         51
        4136           3         44
        4136           4         41
        4137           2        209
        4137           3         19
        4137           4        106
        4137           5         36
        4138           1         46
        4138           2        111
        4138           3         27
        4138           6         36
        4139           2         85
        4139           3         20
        4139           4         81
        4139           6         30
        4140           1         59
        4140           2         67
        4140           3        108
        4140           4         66
        4140           6          8
        4141           2         49
        4141           3         23
        4142           1         29
        4142           2         12
        4142           4         15
        4143           1         81
        4143           2         70
        4143           3         15
        4143           4         80
        4143           6         29
        4144           2         25
        4144           4         29
        4148           2         29
        4149           2        192
        4149           3         29
        4149           4         31
        4149           5         52
        4153           2         30
        4154           1         47
        4154           2        167
        4154           3         98
        4154           4         13
        4154           6         80
        4155           1          8
        4155           2         93
        4155           3         25
        4155           4        129
        4155           5         20
        4155           6         66
        4156           2          3
        4156           3          4
        4157           1          8
        4157           2         51
        4157           3        122
        4157           4         25
        4158           1        108
        4158           2        452
        4158           3        306
        4158           4        368
        4158           5        255
        4158           6         16
        4159           1        350
        4159           2        242
        4159           3        204
        4159           4        254
        4159           5        133
        4160           1        175
        4160           2        390
        4160           3        609
        4160           4       1227
        4160           5        449
        4160           6         32
        4160           7         12
        4161           1         18
        4161           2         81
        4161           3         56
        4161           4         43
        4162           1        373
        4162           2        592
        4162           3        285
        4162           4        340
        4162           5         38
        4163           1        532
        4163           2        578
        4163           3        286
        4163           4        390
        4163           5        126
        4163           6         26
        4164           1        549
        4164           2        527
        4164           3        370
        4164           4        286
        4164           5         71
        4165           3         87
        4165           4         15
        4165           5         29
        4166           1        297
        4166           2        411
        4166           3        308
        4166           4        237
        4166           5        270
        4166           6         27
        4167           1         25
        4167           2         81
        4167           3          8
        4167           4        127
        4167           6         17
        4168           1         36
        4168           2         73
        4168           3         11
        4168           5         19
        4169           2        159
        4169           3         13
        4170           1         56
        4170           2        201
        4170           3         14
        4170           4         98
        4171           1         34
        4171           2         17
        4172           1         14
        4172           2         51
