Fri Sep 24 2021 06:18:16 GMT-0400 (Eastern Daylight Time) - Run Time: 797ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Income range of household - income


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : income
  gta06_hhld      income      total
        4071           6        221
        4071           7        148
        4072           3         14
        4072           4         67
        4072           5        107
        4072           6        471
        4072           7        160
        4073           2         32
        4073           3        108
        4073           4        115
        4073           5         61
        4073           6        315
        4073           7        128
        4074           1         29
        4074           2        183
        4074           3        372
        4074           4        346
        4074           5        128
        4074           6        387
        4074           7        474
        4075           1         46
        4075           2        213
        4075           3        186
        4075           4        320
        4075           5        178
        4075           6        401
        4075           7        396
        4076           1         95
        4076           2        350
        4076           3        109
        4076           4        789
        4076           5        523
        4076           6        715
        4076           7        737
        4077           2          9
        4077           3         53
        4077           4         48
        4077           5         10
        4077           6          8
        4077           7         29
        4078           1         30
        4078           2        100
        4078           3        321
        4078           4        382
        4078           5        178
        4078           6        180
        4078           7        521
        4079           1         28
        4079           2         58
        4079           3        454
        4079           4        965
        4079           5        722
        4079           6       1369
        4079           7        863
        4080           1          8
        4080           2        210
        4080           3        213
        4080           4        593
        4080           5        340
        4080           6       1142
        4080           7        804
        4083           1        153
        4083           2        273
        4083           3        200
        4083           4        786
        4083           5        455
        4083           6        410
        4083           7        411
        4084           1         93
        4084           2        262
        4084           3        499
        4084           4        931
        4084           5        626
        4084           6       1468
        4084           7        838
        4085           2        129
        4085           3        119
        4085           4        588
        4085           5        185
        4085           6        301
        4085           7        288
        4086           2        205
        4086           3         66
        4086           4        199
        4086           5         19
        4086           6        120
        4086           7        132
        4087           2        107
        4087           3        242
        4087           4        435
        4087           5         15
        4087           6        116
        4087           7        119
        4088           1         15
        4088           2        108
        4088           3        213
        4088           4        328
        4088           5        161
        4088           6        436
        4088           7        322
        4089           1         91
        4089           2        411
        4089           3        616
        4089           4        783
        4089           5        588
        4089           6        921
        4089           7        691
        4090           2         52
        4090           3         91
        4090           4        128
        4090           5         85
        4090           6        153
        4090           7        235
        4091           2         73
        4091           3         61
        4091           4         55
        4091           5         33
        4091           6         79
        4091           7         72
        4092           2         22
        4092           3         21
        4092           4        111
        4092           5         43
        4092           6        115
        4092           7         67
        4093           2          5
        4093           3         17
        4093           4         58
        4093           6         47
        4093           7         52
        4094           5         13
        4094           6         28
        4094           7         10
        4096           2          5
        4096           3         12
        4096           6         46
        4096           7         54
        4097           1         30
        4097           2         34
        4097           3         19
        4097           4        122
        4097           6         76
        4097           7        117
        4098           2         29
        4098           3         25
        4098           4         45
        4098           5         34
