Fri Sep 24 2021 06:16:57 GMT-0400 (Eastern Daylight Time) - Run Time: 613ms

Cross Tabulation Query Form - Household - 2016 v1.1

Row: 2006 GTA zone of household - gta06_hhld
Column: Type of dwelling unit - dwell_type


Filters:
Regional municipality of household - region_hhld In 5,6,11

Household 2016
ROW : gta06_hhld
COLUMN : dwell_type
  gta06_hhld  dwell_type      total
        5041           3        503
        5044           1        469
        5044           3        271
        5045           1        721
        5045           3        293
        5046           1       1232
        5046           2         28
        5046           3        772
        5047           1        896
        5047           2         54
        5047           3        940
        5048           1         30
        5049           1         66
        5049           2        131
        5050           1        828
        5050           2        179
        5050           3        607
        5051           1       1209
        5051           3        422
        5052           1        440
        5052           3         54
        5053           1       1145
        5053           2         39
        5053           3        429
        5054           1         94
        5054           3         64
        5055           1         59
        5056           1        737
        5056           3        168
        5057           1        532
        5057           2         81
        5057           3        817
        5058           1        798
        5058           2         86
        5058           3        525
        5059           1       1741
        5059           2         71
        5059           3        332
        5060           1        808
        5060           3         23
        5061           1       1096
        5061           2         46
        5061           3         24
        5063           1        763
        5063           2          7
        5063           3        294
        5065           1        894
        5065           2         43
        5065           3        293
        5066           1       1432
        5066           2         38
        5066           3        509
        5067           1        695
        5067           2         37
        5067           3         48
        5068           1       1178
        5068           2        580
        5068           3        224
        5069           1        688
        5069           2        369
        5069           3        486
        5071           1        825
        5071           3         66
        5072           1        326
        5073           1       1583
        5073           3        427
        5074           1       1041
        5074           2        195
        5074           3        155
        5075           1        877
        5075           3        156
        5076           1        649
        5076           2         35
        5076           3        165
        5077           1        157
        5078           1        544
        5078           3         27
        5079           1        271
        5079           2        307
        5080           1        288
        5080           2         28
        5081           1        489
        5082           1       1504
        5082           2        490
        5084           1       1574
        5084           3        224
        5086           1        619
        5086           2        126
        5086           3        518
        5087           1         84
        5087           2        136
        5088           1        196
        5088           3         30
        5089           1       1101
        5089           2        413
        5090           1        394
        5090           3        404
        5091           1        572
        5091           3        419
        5092           1        946
        5092           2        559
        5093           1        394
        5093           2        507
        5093           3         13
        5094           1       1293
        5094           2        224
        5094           3        936
        5095           1        894
        5095           2        692
        5095           3        152
        5096           1       1008
        5096           2        176
        5096           3        139
        5097           1        385
        5097           2        362
        5097           3        154
        5098           1       1209
        5098           2        123
        5098           3        267
        5099           1        665
        5099           2        803
        5100           1       1348
        5100           3        286
        5101           1        676
        5101           3         82
        5102           1        575
        5102           2        235
        5103           1        241
        5104           1        821
        5104           2        790
        5104           3        326
        5105           1        870
        5105           2         12
        5105           3         24
        5106           1        850
        5106           2         89
        5106           3         80
        5107           1        164
        5107           2        249
        5107           3        230
        5109           1        907
        5110           1        926
        5110           2        588
        5110           3         29
        5111           1        635
        5111           2       1016
        5111           3        168
        5113           1        975
        5114           1        417
        5114           2        400
        5114           3         21
        5115           1        878
        5115           3        461
        5116           1        824
        5116           2        187
        5117           1        354
        5117           2        134
        5118           1        803
        5118           2        549
        5118           3        345
        5119           2         66
        5120           1        909
        5120           2        175
        5121           1       1010
        5121           2         99
        5122           1       1130
        5122           2        127
        5123           1        278
        5123           2       2568
        5123           3        173
        5125           1        164
        5125           2        232
        5126           1        232
        5126           2         27
        5127           1       1169
        5127           2        942
        5129           1        821
        5129           2         22
        5130           1       1091
        5130           2       1065
        5131           1        766
        5131           2        667
        5132           1       1270
        5133           1        835
        5133           2         19
        5133           3        420
        5135           1       1707
        5135           2        489
        5135           3         73
        5137           1        576
        5138           1        127
        5138           2         25
        5139           1        988
        5139           2       1089
        5139           3        558
        5140           1       1228
        5141           1        839
        5142           1         67
        5143           1       1394
        5143           2         26
        5144           1       1394
        5144           2        458
        5144           3         98
        5147           1         87
        5148           1        935
        5148           2       1207
        5148           3        374
        5149           1       1116
        5149           2        119
        5150           1        501
        5150           2       1293
        5150           3        124
        5151           1       1536
        5151           2         91
        5154           1        857
        5154           2        112
        5155           1        720
        5155           2        753
        5156           2         81
        5157           1        845
        5157           2        260
        5158           1       1711
        5158           2        114
        5159           1        148
        5159           2       1338
        5160           3        162
        5161           1       1301
        5161           2         84
        5162           1        825
        5162           2         38
        5163           1        117
        5163           2        992
        5163           3         80
        5164           1        515
        5164           2       2188
        5164           3         91
        5165           1        750
        5165           2        930
        5166           1        341
        5166           2       2631
        5166           3         51
        5167           1        252
        5167           2        738
        5168           1         18
        5168           2       1104
        5168           3         99
        5170           1        823
        5170           2       1172
        5170           3         93
        5171           2       1443
        5172           1        142
        5172           2       1321
        5172           3         50
        5173           2        275
        5174           1        421
        5174           2        690
        5175           1        862
        5175           2        380
        5176           1        937
        5177           1        594
        5177           2        150
        5177           3         55
        5178           1        842
        5179           1        101
        5179           2       1956
        5179           3         16
        5180           1        803
        5180           2        353
        5181           1        440
        5181           2       2109
        5182           1        786
        5183           1        590
        5184           2        156
        5184           3         30
        5186           1        162
        5186           2       1020
        5186           3        146
        5187           1         30
        5187           2       2525
        5188           1        419
        5188           2        151
        5190           2         67
        5191           1        873
        5191           2        294
        5191           3         97
        5192           1        224
        5192           2        954
        5193           2         23
        5194           1        599
        5194           2        193
        5194           3        135
        5195           2        743
        5196           1        599
        5196           2        237
        5197           1         85
        5198           1        190
        5198           2         32
        5199           1        503
        5199           2        256
        5199           3        219
        5200           1        621
        5200           2        953
        5200           3        119
        5201           1        201
        5201           2        130
        5202           1        918
        5202           2        147
        5202           3        229
        5203           1        748
        5203           2        502
        5204           1        144
        5204           2        375
        5205           1        724
        5205           2       1179
        5205           3         81
        5206           1        669
        5206           3         20
        5207           1       1130
        5207           2        777
        5207           3         93
        5208           1       1473
        5208           2        840
        5208           3         70
        5210           1        148
        5210           2         64
        5212           1        538
        5212           3        320
        5213           1         30
        5214           1         98
        5215           1        175
        5216           1       1269
        5216           2         45
        5219           1        923
        5223           1        660
        5224           1        729
        5225           1        375
        5226           1       1146
        5226           2         26
        5227           1        179
        5228           1         84
        5229           1        756
        5229           3        485
        5230           1       1126
        5230           3        264
        5231           1        565
        5231           2        380
        5231           3        122
        5232           1       1899
        5232           2         43
        5232           3        290
        5233           1        478
        5233           2        198
        5233           3         93
        5234           1        190
        5234           2         15
        5235           1        140
        5235           3         42
        5236           1        463
        5236           3         23
        5237           1        547
        5237           2        483
        5237           3        352
        5238           1        592
        5238           2        103
        5238           3        534
        5239           1        805
        5239           2        626
        5239           3        287
        5240           1        388
        5240           2         17
        5240           3         52
        5241           1       1307
        5241           2        942
        5241           3        915
        5242           1        184
        5242           3        134
        5243           1         78
        5244           1        440
        5244           3        555
        5245           1        281
        5245           3         75
        5246           1        462
        5246           3        209
        5247           1        283
        5247           2         30
        5247           3        219
        5248           1       1043
        5249           1        195
        5250           1        256
        5251           1         32
        5252           1        319
        5252           2        321
        6001           1        126
        6001           3        174
        6004           1        890
        6004           3        925
        6005           1        473
        6006           1        357
        6007           1        546
        6008           1        235
        6008           2        114
        6008           3        194
        6009           1         11
        6009           2         45
        6009           3         51
        6010           1         31
        6010           2        112
        6012           1       1027
        6014           1         90
        6014           2        314
        6015           1        956
        6015           2         12
        6015           3        109
        6016           1        896
        6016           3        109
        6017           1        234
        6017           2         43
        6017           3         32
        6018           1        620
        6018           2         14
        6018           3        196
        6019           1        542
        6019           2         38
        6019           3        209
        6020           1        419
        6020           2        194
        6020           3         70
        6021           1         10
        6022           1        192
        6022           2         97
        6023           1       1778
        6023           2         53
        6023           3        559
        6024           1        107
        6025           1        318
        6026           1        862
        6026           2        204
        6026           3        367
        6027           1        947
        6027           2         17
        6028           1        123
        6028           3         32
        6029           1        606
        6030           1        265
        6031           1        172
        6031           2         14
        6032           1       1732
        6032           2        121
        6032           3        219
        6033           1         61
        6033           2        139
        6034           1        437
        6034           2         18
        6034           3         98
        6035           1        354
        6036           1        252
        6037           1         32
        6038           1        520
        6038           2        116
        6039           1       1457
        6039           2        187
        6039           3         68
        6040           1        241
        6040           2         53
        6041           1        361
        6042           1        391
        6043           1        220
        6044           1       2071
        6044           2        218
        6044           3        307
        6045           1        279
        6046           1        290
        6047           1       1038
        6047           2         47
        6047           3        220
        6048           1        523
        6049           1         26
        6050           1        647
        6050           2         17
        6050           3         65
        6051           1        269
        6051           2         24
        6052           1        371
        6052           3         68
        6053           1        335
        6054           1        479
        6055           1        489
        6055           2         13
        6055           3         64
        6056           1        313
        6056           2        293
        6056           3        257
        6057           1        166
        6057           2        277
        6057           3        221
        6058           1        371
        6058           2        117
        6058           3         47
        6059           1        569
        6059           2         61
        6059           3         25
        6060           1         21
        6060           2        303
        6061           1        600
        6061           2         55
        6061           3        117
        6062           1        989
        6062           2         16
        6063           1        528
        6064           1       1422
        6064           2        123
        6064           3        167
        6065           1        280
        6066           1        565
        6066           2        273
        6066           3         36
        6067           1        551
        6067           2         94
        6067           3         45
        6068           1        636
        6068           2        166
        6068           3         69
        6069           1        303
        6069           3        116
        6070           1         33
        6071           1       1558
        6071           2        392
        6071           3         33
        6072           1        303
        6072           2        210
        6072           3         17
        6073           2         84
        6074           1        727
        6074           2        949
        6074           3        197
        6075           1        887
        6075           2        403
        6075           3        114
        6076           2         42
        6076           3         16
        6079           1        744
        6079           2        493
        6079           3         55
        6080           1         79
        6081           1        866
        6081           2        173
        6081           3        183
        6082           1        531
        6082           2        100
        6082           3         40
        6083           1          8
        6083           2       1320
        6085           2        175
        6090           1       1032
        6090           2        234
        6090           3         46
        6091           1        576
        6092           1        507
        6092           2         88
        6092           3        218
        6094           1         72
        6094           2        262
        6094           3         85
        6095           1         56
        6097           1        884
        6098           1        595
        6098           2        139
        6098           3        340
        6100           1        726
        6100           2        441
        6100           3         59
        6101           1       1061
        6101           2        681
        6102           1        405
        6102           2        140
        6102           3         43
        6103           1         25
        6104           1        263
        6105           1        453
        6105           2        184
        6106           1        554
        6106           2         57
        6107           1        706
        6107           2        875
        6109           1        590
        6109           2        115
        6109           3        716
        6112           1        332
        6112           2         62
        6112           3        130
        6113           1        624
        6113           2        268
        6115           1        239
        6116           1         68
        6117           1        302
        6117           2        254
        6118           1        361
        6118           2        624
        6118           3        107
        6119           1         83
        6119           2         28
        6119           3         36
        6120           1        154
        6121           1         79
        6121           2        569
        6122           1         10
        6123           2        197
        6124           2        137
        6125           2         96
        6127           3          6
        6129           1         83
        6129           2        150
        6129           3         15
        6130           2        284
        6131           2         49
        6132           1        162
        6132           2        299
        6133           1        130
        6133           2        326
        6133           3        100
        6134           2        381
        6135           1        193
        6135           2         59
        6137           1        844
        6137           2         47
        6137           3        104
        6138           2         28
        6139           1        237
        6139           2         18
        6139           3          8
        6140           1        537
        6140           2        136
        6141           1        563
        6141           2         35
        6142           1        343
        6142           2        490
        6142           3         63
        6143           1        126
        6144           1        167
        6144           2         51
        6145           2         15
        6145           3         33
        6146           1       1790
        6146           2        826
        6146           3        345
        6147           3         34
        6150           1        637
        6150           2        100
        6151           2         57
        6153           1        108
        6153           2        105
        6154           1       1014
        6154           2         38
        6155           1          8
        6155           2        133
        6156           2         29
        6158           1        341
        6158           2         33
        6158           3         63
        6159           1        388
        6159           2          9
        6159           3         70
        6160           2        796
        6160           3         13
        6161           1        259
        6161           2         50
        6162           1        369
        6162           2         36
        6163           1         47
        6164           1        580
        6164           2         49
        6164           3          9
        6165           1         94
        6165           3        143
        6166           1        694
        6166           2         34
        6166           3        190
        6167           1         50
        6168           1        747
        6168           2         20
        6168           3         50
        6169           2         68
        6170           1       1564
        6170           3         46
        6171           1        618
        6171           2         19
        6171           3         71
        6172           1        423
        6172           2         55
        6173           1        611
        6173           3         57
        6174           1        165
        6174           2        373
        6174           3         26
        6175           1        132
        6175           2        333
        6176           1        269
        6176           2        266
        6176           3         24
        6177           1        165
        6177           2         74
        6178           1          4
        6179           1        188
        6180           1        134
        6181           1         84
        6182           1        668
        6182           2        121
        6182           3         14
        6183           1        195
        6183           2         32
        6184           1         34
        6185           1         47
        6186           1        138
        6187           1        164
        6187           3          4
        6188           1        347
        6189           1         61
        6190           1          4
        6191           1         92
        6192           1         32
        6193           1        904
        6193           2        330
        6193           3        252
        6194           1        941
        6194           2         66
        6194           3         65
        6195           1        138
        6195           3         35
        6196           1       1136
        6196           2         28
        6196           3         16
        6197           1         53
        6198           1       1219
        6198           2        309
        6198           3        206
        6199           1       1799
        6199           2        539
        6199           3        266
        6200           1         14
        6201           1        274
        6201           2        121
        6202           1         24
        6202           2        175
        6203           1         74
        6203           2        319
        6204           1         57
        6204           2        845
        6205           1        268
        6205           2        205
        6206           1        512
        6206           2         68
        6207           1        492
        6207           2         69
        6208           1         28
        6208           2         66
        6209           1         37
        6210           1         26
        6210           2         15
        6213           1        458
        6213           2        399
        6213           3         60
        6214           1         16
        6214           2         29
        6215           1         67
        6216           1        289
        6216           2         53
        6216           3         89
        6217           1        716
        6217           2        640
        6217           3        132
        6218           1        900
        6218           2        119
        6219           1       1464
        6219           2        348
        6219           3        120
        6222           1       1632
        6222           2         16
        6222           3        129
        6223           1        651
        6223           3        236
        6224           1         57
        6225           1       1394
        6225           3        144
        6226           1       1502
        6226           2        439
        6226           3        316
        6227           1         57
        6227           2         25
        6228           1        630
        6229           1         90
        6230           1        515
        6230           2        214
        6230           3         77
        6231           1         89
        6231           2         68
        6232           1         29
        6233           1        803
        6233           2        693
        6235           1       2381
        6235           2        452
        6235           3         45
        6236           1        985
        6236           2        380
        6236           3         91
        6240           1         25
        6244           1        341
        6247           1         13
        6248           1        363
        6248           3         17
        6249           1        584
        6249           2        168
        6249           3         29
        6250           1        117
        6252           1        733
        6252           2        183
        6252           3        139
        6253           1        326
        6254           1         75
        6255           1         94
        6256           1        408
        6257           1       1001
        6259           1        412
        6259           2         61
        6260           1        461
        6260           2        139
        6261           1         10
        6261           3         49
        6262           1        138
        6262           3        123
        6263           1        466
        6265           1        182
        6266           1        383
        6266           2        192
        6266           3        111
        6267           1        864
        6267           2         43
        6267           3         50
        6268           1       1243
        6268           3        118
        6269           1       1224
        6269           2        373
        6269           3          6
        6270           1        384
        6270           2        435
        6270           3         16
